kind,label,archetype,resolution_status,unknown_label,yaw_source,yaw_ambiguous,scale_source,parts,triangles,descriptor_bytes,packet_bytes,descriptor_build_us,schedule_us,action
known,car,car,exact_class,False,none,True,template_prior,12,864,5336,4380,291.4,2.4,create
known,truck,truck,exact_class,False,none,True,template_prior,19,1668,7250,6285,279.7,1.6,create
known,tractor,tractor,exact_class,False,none,True,template_prior,14,960,5876,4904,177.3,1.0,create
known,cow,cow,exact_class,False,none,True,template_prior,14,1056,5843,4886,184.1,0.9,create
known,tree,tree,exact_class,False,none,True,template_prior,5,488,3575,2616,100.1,0.7,create
known,biker,biker,exact_class,False,none,True,template_prior,13,900,5623,4659,166.3,0.8,create
open_keyword,delivery van,light_vehicle,keyword_archetype,False,none,True,template_prior,12,864,5420,4428,197.0,1.5,create
open_keyword,antenna mast,vertical_structure,keyword_archetype,False,none,True,template_prior,4,90,3325,2336,59.0,1.0,create
open_keyword,horse animal,quadruped,keyword_archetype,False,none,True,template_prior,14,1056,5923,4930,187.7,0.9,create
unknown_fallback,solar panel,unknown,fallback_unknown_label,True,none,True,template_prior,3,94,3076,2071,50.8,0.7,create
unknown_fallback,shipping container,unknown,fallback_unknown_label,True,none,True,template_prior,3,94,3118,2085,46.9,0.6,create
unknown_fallback,barrel,unknown,fallback_unknown_label,True,none,True,template_prior,3,94,3046,2061,47.7,0.6,create
