kind,label,archetype,resolution_status,unknown_label,yaw_source,yaw_ambiguous,scale_source,parts,triangles,descriptor_bytes,packet_bytes,descriptor_build_us,schedule_us,action
known,car,car,exact_class,False,none,True,template_prior,12,864,5420,4380,276.9,2.3,create
known,truck,truck,exact_class,False,none,True,template_prior,19,1668,7334,6285,296.0,4.5,create
known,tractor,tractor,exact_class,False,none,True,template_prior,14,960,5960,4904,204.4,1.3,create
known,cow,cow,exact_class,False,none,True,template_prior,14,1056,5927,4886,195.6,1.0,create
known,tree,tree,exact_class,False,none,True,template_prior,5,488,3659,2616,105.0,0.8,create
known,biker,biker,exact_class,False,none,True,template_prior,13,900,5707,4659,251.7,1.9,create
open_keyword,delivery van,light_vehicle,keyword_archetype,False,none,True,template_prior,12,864,5504,4428,176.3,1.3,create
open_keyword,antenna mast,vertical_structure,keyword_archetype,False,none,True,template_prior,4,90,3409,2336,57.6,0.9,create
open_keyword,horse animal,quadruped,keyword_archetype,False,none,True,template_prior,14,1056,6007,4930,212.7,1.0,create
unknown_fallback,solar panel,unknown,fallback_unknown_label,True,none,True,template_prior,3,94,3160,2071,52.6,0.6,create
unknown_fallback,shipping container,unknown,fallback_unknown_label,True,none,True,template_prior,3,94,3202,2085,45.6,0.7,create
unknown_fallback,barrel,unknown,fallback_unknown_label,True,none,True,template_prior,3,94,3130,2061,45.8,0.6,create
