label,method,reps,target_length_m,target_width_m,target_height_m,aabb_length_m,aabb_width_m,aabb_height_m,mean_dim_rel_error,aabb_volume_ratio,vertices,faces,triangles,mesh_bytes,export_ms,mesh_path,p50_ms,p95_ms,max_ms
cow,box,50,2.45,0.95,1.65,2.45,0.95,1.65,0.0,1.0,8,6,12,336,0.7879999902797863,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/box/cow/cow.obj,0.0023000029614195228,0.0039000005926936865,0.01340000017080456
cow,ellipsoid,50,2.45,0.95,1.65,2.45,0.95,1.65,0.0,1.0,84,72,144,3442,0.5364999960875139,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/ellipsoid/cow/cow.obj,0.030800001695752144,0.05200000305194408,0.09279999358113855
cow,capsule_proxy,50,2.45,0.95,1.65,2.403503690480396,0.95,1.65,0.006326028506068577,0.9810219144817943,128,106,212,5270,0.5112999933771789,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/capsule_proxy/cow/cow.obj,0.045200009481050074,0.06120000034570694,0.0813999940874055
cow,billboard,50,2.45,0.95,1.65,0.0,0.95,1.65,0.3333333333333333,0.0,4,1,2,173,0.26870000874623656,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/billboard/cow/cow.obj,0.0007999915396794677,0.001200009137392044,0.0042000028770416975
cow,sppa_fixed,50,2.45,0.95,1.65,4.050000000000001,1.0699999999999998,1.725,0.2749438531393419,1.946499365296358,612,502,1056,26588,1.1454999912530184,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/sppa_fixed/cow/cow.obj,0.2829000004567206,0.344599990057759,0.39879999530967325
cow,sppa_scaled,50,2.45,0.95,1.65,2.45,0.95,1.65,0.0,1.0,612,502,1056,26588,1.098299995646812,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/sppa_scaled/cow/cow.obj,0.49215000035474077,0.5069000035291538,0.8340000058524311
biker,box,50,1.85,0.65,2.2,1.85,0.65,2.2,0.0,1.0,8,6,12,338,0.2767999976640567,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/box/biker/biker.obj,0.0023000029614195228,0.0026999914553016424,0.007000009645707905
biker,ellipsoid,50,1.85,0.65,2.2,1.85,0.65,2.2,0.0,1.0,84,72,144,3444,0.3716999926837161,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/ellipsoid/biker/biker.obj,0.031000003218650818,0.03619999915827066,0.03700000524986535
biker,capsule_proxy,50,1.85,0.65,2.2,1.81818673559185,0.65,2.2,0.005732119713180204,0.9828036408604593,128,106,212,5272,0.4011999990325421,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/capsule_proxy/biker/biker.obj,0.04600000102072954,0.049700000090524554,0.05220000457484275
biker,billboard,50,1.85,0.65,2.2,0.0,0.65,2.2,0.3333333333333333,0.0,4,1,2,175,0.26009998691733927,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/billboard/biker/biker.obj,0.000700005330145359,0.00100000761449337,0.0025999906938523054
biker,sppa_fixed,50,1.85,0.65,2.2,2.55,0.3804226065180615,2.1643443626772756,0.26977331258767284,0.7936428220841133,488,396,900,21263,0.891200004843995,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/sppa_fixed/biker/biker.obj,0.22595000336878002,0.2347999979974702,0.2854999911505729
biker,sppa_scaled,50,1.85,0.65,2.2,1.85,0.65,2.2,0.0,1.0,488,396,900,21263,0.9201000066241249,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/sppa_scaled/biker/biker.obj,0.3905499979737215,0.3991999983554706,0.420899988966994
tree,box,50,1.85,1.65,3.2,1.85,1.65,3.2,0.0,1.0,8,6,12,337,0.2677999873412773,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/box/tree/tree.obj,0.0023000029614195228,0.0033999967854470015,0.007199996616691351
tree,ellipsoid,50,1.85,1.65,3.2,1.85,1.65,3.2,0.0,1.0,84,72,144,3443,0.34589999995660037,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/ellipsoid/tree/tree.obj,0.03130000550299883,0.03610001294873655,0.03819999983534217
tree,capsule_proxy,50,1.85,1.65,3.2,1.7692432518870036,1.65,3.2,0.014550765425765132,0.9563477037227046,128,106,212,5271,0.3983000060543418,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/capsule_proxy/tree/tree.obj,0.046600005589425564,0.050000002374872565,0.052799994591623545
tree,billboard,50,1.85,1.65,3.2,0.0,1.65,3.2,0.3333333333333333,0.0,4,1,2,174,0.23489999875891954,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/billboard/tree/tree.obj,0.000700005330145359,0.0008999923011288047,0.0025000044843181968
tree,sppa_fixed,50,1.85,1.65,3.2,1.8290987769469598,1.5,3.12,0.042402349772046564,0.8763495368664793,288,236,488,12308,0.6388000037986785,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/sppa_fixed/tree/tree.obj,0.14070000179344788,0.14460000966209918,0.17570001364219934
tree,sppa_scaled,50,1.85,1.65,3.2,1.85,1.65,3.2000000000000006,4.625929269271486e-17,1.0,288,236,488,12308,0.6346000009216368,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/sppa_scaled/tree/tree.obj,0.2376000047661364,0.2440999960526824,0.24870000197552145
car,box,50,4.35,1.85,1.6,4.35,1.85,1.6,0.0,1.0,8,6,12,336,0.25969999842345715,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/box/car/car.obj,0.0024000037228688598,0.002700006007216871,0.006399990525096655
car,ellipsoid,50,4.35,1.85,1.6,4.35,1.85,1.6,0.0,1.0,84,72,144,3442,0.33150000672321767,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/ellipsoid/car/car.obj,0.031199997465591878,0.035899996873922646,0.036600002204068005
car,capsule_proxy,50,4.35,1.85,1.6,4.259454555146034,1.85,1.6,0.006938348264671706,0.979184955205985,128,106,212,5270,0.38899999344721437,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/capsule_proxy/car/car.obj,0.045900000259280205,0.04959999932907522,0.05200000305194408
car,billboard,50,4.35,1.85,1.6,0.0,1.85,1.6,0.3333333333333333,0.0,4,1,2,173,0.2325000095879659,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/billboard/car/car.obj,0.000700005330145359,0.00100000761449337,0.008699993486516178
car,sppa_fixed,50,4.35,1.85,1.6,2.4,1.2812435565298212,1.2722276527763654,0.32018983149100766,0.30382730336603486,448,408,864,20268,0.8781000069575384,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/sppa_fixed/car/car.obj,0.21285000548232347,0.2192999963881448,0.28229999588802457
car,sppa_scaled,50,4.35,1.85,1.6,4.35,1.85,1.6,0.0,1.0,448,408,864,20268,0.8845999982440844,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/sppa_scaled/car/car.obj,0.3624500022851862,0.3691000019898638,0.3887000057147816
truck,box,50,6.6,2.45,2.85,6.6,2.45,2.85,0.0,1.0,8,6,12,338,0.2747999969869852,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/box/truck/truck.obj,0.0023000029614195228,0.0025000044843181968,0.005399997462518513
truck,ellipsoid,50,6.6,2.45,2.85,6.6,2.45,2.85,0.0,1.0,84,72,144,3444,0.36779999209102243,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/ellipsoid/truck/truck.obj,0.03090000245720148,0.03599999763537198,0.037699996028095484
truck,capsule_proxy,50,6.6,2.45,2.85,6.480088464923126,2.45,2.85,0.006056138135195635,0.981831585594413,128,106,212,5272,0.3910000086762011,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/capsule_proxy/truck/truck.obj,0.045900000259280205,0.04959999932907522,0.052100003813393414
truck,billboard,50,6.6,2.45,2.85,0.0,2.45,2.85,0.3333333333333333,0.0,4,1,2,175,0.23270001111086458,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/billboard/truck/truck.obj,0.000700005330145359,0.000900006853044033,0.002800006768666208
truck,sppa_fixed,50,6.6,2.45,2.85,3.56,1.3612435565298213,1.2822276527763652,0.485030668708425,0.13483296778813733,856,786,1668,39182,1.3930999994045123,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/sppa_fixed/truck/truck.obj,0.4532999955699779,0.4842999915126711,0.5406999989645556
truck,sppa_scaled,50,6.6,2.45,2.85,6.6,2.45,2.85,0.0,1.0,856,786,1668,39182,1.392099991790019,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/sppa_scaled/truck/truck.obj,0.7408500023302622,0.7621999975526705,0.767299992730841
tractor,box,50,3.8,2.05,2.45,3.8,2.05,2.45,0.0,1.0,8,6,12,340,0.26359999901615083,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/box/tractor/tractor.obj,0.0022999956854619086,0.0025999906938523054,0.005599998985417187
tractor,ellipsoid,50,3.8,2.05,2.45,3.8,2.05,2.45,0.0,1.0,84,72,144,3446,0.3375999949639663,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_open_label/outputs/ellipsoid/tractor/tractor.obj,0.03090000245720148,0.03560000914148986,0.03739999374374747
