model,label,mesh_path,status,front_png,faces_total,faces_rendered,side_png,top_png,iso_png
billboard,biker,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\billboard\biker\biker.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\billboard\biker\front.png,2,2,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\billboard\biker\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\billboard\biker\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\billboard\biker\iso.png
billboard,car,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\billboard\car\car.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\billboard\car\front.png,2,2,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\billboard\car\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\billboard\car\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\billboard\car\iso.png
billboard,cow,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\billboard\cow\cow.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\billboard\cow\front.png,2,2,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\billboard\cow\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\billboard\cow\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\billboard\cow\iso.png
billboard,tractor,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\billboard\tractor\tractor.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\billboard\tractor\front.png,2,2,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\billboard\tractor\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\billboard\tractor\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\billboard\tractor\iso.png
billboard,tree,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\billboard\tree\tree.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\billboard\tree\front.png,2,2,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\billboard\tree\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\billboard\tree\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\billboard\tree\iso.png
billboard,truck,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\billboard\truck\truck.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\billboard\truck\front.png,2,2,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\billboard\truck\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\billboard\truck\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\billboard\truck\iso.png
box,biker,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\box\biker\biker.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\box\biker\front.png,12,12,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\box\biker\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\box\biker\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\box\biker\iso.png
box,car,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\box\car\car.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\box\car\front.png,12,12,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\box\car\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\box\car\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\box\car\iso.png
box,cow,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\box\cow\cow.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\box\cow\front.png,12,12,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\box\cow\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\box\cow\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\box\cow\iso.png
box,tractor,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\box\tractor\tractor.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\box\tractor\front.png,12,12,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\box\tractor\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\box\tractor\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\box\tractor\iso.png
box,tree,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\box\tree\tree.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\box\tree\front.png,12,12,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\box\tree\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\box\tree\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\box\tree\iso.png
box,truck,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\box\truck\truck.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\box\truck\front.png,12,12,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\box\truck\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\box\truck\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\box\truck\iso.png
capsule_proxy,biker,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\capsule_proxy\biker\biker.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\biker\front.png,212,212,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\biker\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\biker\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\biker\iso.png
capsule_proxy,car,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\capsule_proxy\car\car.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\car\front.png,212,212,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\car\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\car\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\car\iso.png
capsule_proxy,cow,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\capsule_proxy\cow\cow.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\cow\front.png,212,212,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\cow\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\cow\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\cow\iso.png
capsule_proxy,tractor,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\capsule_proxy\tractor\tractor.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\tractor\front.png,212,212,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\tractor\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\tractor\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\tractor\iso.png
capsule_proxy,tree,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\capsule_proxy\tree\tree.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\tree\front.png,212,212,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\tree\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\tree\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\tree\iso.png
capsule_proxy,truck,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\capsule_proxy\truck\truck.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\truck\front.png,212,212,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\truck\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\truck\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\capsule_proxy\truck\iso.png
ellipsoid,biker,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\outputs\ellipsoid\biker\biker.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\biker\front.png,144,144,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\biker\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\biker\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_lightweight_baselines\20260702_open_label\views\models\ellipsoid\biker\iso.png
