label,method,reps,target_length_m,target_width_m,target_height_m,aabb_length_m,aabb_width_m,aabb_height_m,mean_dim_rel_error,aabb_volume_ratio,vertices,faces,triangles,mesh_bytes,export_ms,mesh_path,p50_ms,p95_ms,max_ms
cow,box,50,2.45,0.95,1.65,2.45,0.95,1.65,0.0,1.0,8,6,12,336,1.5708999999333173,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_parametric_parts/outputs/box/cow/cow.obj,0.0047000066842883825,0.013500000932253897,0.050300004659220576
cow,ellipsoid,50,2.45,0.95,1.65,2.45,0.95,1.65,0.0,1.0,84,72,144,3442,1.211199996760115,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_parametric_parts/outputs/ellipsoid/cow/cow.obj,0.03694999759318307,0.044500004150904715,0.10980000661220402
cow,capsule_proxy,50,2.45,0.95,1.65,2.403503690480396,0.95,1.65,0.006326028506068577,0.9810219144817943,128,106,212,5270,1.7985000013140962,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_parametric_parts/outputs/capsule_proxy/cow/cow.obj,0.057600002037361264,0.07100000220816582,0.09499999578110874
cow,billboard,50,2.45,0.95,1.65,0.0,0.95,1.65,0.3333333333333333,0.0,4,1,2,173,0.8562000002712011,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_parametric_parts/outputs/billboard/cow/cow.obj,0.000700005330145359,0.0013999961083754897,0.006000002031214535
cow,sppa_fixed,50,2.45,0.95,1.65,4.050000000000001,1.0699999999999998,1.725,0.2749438531393419,1.946499365296358,612,502,1056,26646,2.0702999900095165,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_parametric_parts/outputs/sppa_fixed/cow/cow.obj,0.34934999712277204,0.4596999933710322,0.981999997748062
cow,sppa_global_scaled,50,2.45,0.95,1.65,2.45,0.95,1.65,0.0,1.0,612,502,1056,26646,1.8654000014066696,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_parametric_parts/outputs/sppa_global_scaled/cow/cow.obj,0.5574000024353154,0.6150999979581684,0.6406999891623855
cow,sppa_parametric,50,2.45,0.95,1.65,4.050000000000001,1.0699999999999998,1.725,0.2749438531393419,1.946499365296358,612,502,1056,26646,1.4136999961920083,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_parametric_parts/outputs/sppa_parametric/cow/cow.obj,0.3582499921321869,0.37460000021383166,0.4569000011542812
biker,box,50,1.85,0.65,2.2,1.85,0.65,2.2,0.0,1.0,8,6,12,338,0.658600009046495,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_parametric_parts/outputs/box/biker/biker.obj,0.0045000051613897085,0.005699999746866524,0.014899997040629387
biker,ellipsoid,50,1.85,0.65,2.2,1.85,0.65,2.2,0.0,1.0,84,72,144,3444,1.083499999367632,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_parametric_parts/outputs/ellipsoid/biker/biker.obj,0.03670000296551734,0.0422999873990193,0.05040000542066991
biker,capsule_proxy,50,1.85,0.65,2.2,1.81818673559185,0.65,2.2,0.005732119713180204,0.9828036408604593,128,106,212,5272,0.9055999980773777,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_parametric_parts/outputs/capsule_proxy/biker/biker.obj,0.05839999357704073,0.07139999070204794,0.07769999501761049
biker,billboard,50,1.85,0.65,2.2,0.0,0.65,2.2,0.3333333333333333,0.0,4,1,2,175,0.7767999923089519,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_lightweight_baselines/20260702_parametric_parts/outputs/billboard/biker/biker.obj,0.000700005330145359,0.00100000761449337,0.00340001133736223
