label,method,reps,p50_build_ms,p95_build_ms,export_ms,manifest_ms,vertices,faces,triangles,material_count,descriptor_schema,material_policy,fallback_material_count,mesh_bytes,manifest_bytes,mesh_path,manifest_path
cow,sppa_flat,50,0.5629500010400079,0.7963999960338697,2.152299988665618,0.0017999991541728377,612,502,1056,1,,flat_or_class_color_control,0,26526,0,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_flat/cow/cow.obj,
cow,sppa_class_color,50,0.4424499929882586,0.6950000097276643,1.2992000119993463,0.0025000044843181968,612,502,1056,1,,flat_or_class_color_control,0,26527,0,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_class_color/cow/cow.obj,
cow,sppa_part_material,50,0.44085000263294205,0.6034999969415367,1.5067000058479607,0.7573999901069328,612,502,1056,4,SPPA-MAT-0.1,evidence_calibrated_procedural_roles,0,26646,1641,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_part_material/cow/cow.obj,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_part_material/cow/cow.materials.json
cow,sppa_part_material_low_conf,50,0.4273000013199635,0.4847000091103837,1.9957999902544543,0.7476000027963892,612,502,1056,4,SPPA-MAT-0.1,evidence_calibrated_procedural_roles,0,26646,1733,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_part_material_low_conf/cow/cow.obj,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_part_material_low_conf/cow/cow.materials.json
biker,sppa_flat,50,0.34929999674204737,0.6061000021873042,1.3286999892443419,0.0014999968698248267,488,396,900,1,,flat_or_class_color_control,0,21164,0,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_flat/biker/biker.obj,
biker,sppa_class_color,50,0.3542499980540015,0.5230999959167093,1.778499994543381,0.0016999983927235007,488,396,900,1,,flat_or_class_color_control,0,21166,0,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_class_color/biker/biker.obj,
biker,sppa_part_material,50,0.5253499984974042,0.6135000003268942,1.8257000047015026,0.5216999998083338,488,396,900,5,SPPA-MAT-0.1,evidence_calibrated_procedural_roles,0,21368,1968,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_part_material/biker/biker.obj,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_part_material/biker/biker.materials.json
biker,sppa_part_material_low_conf,50,0.34095000592060387,0.5191000091144815,1.3142999960109591,0.6292000034591183,488,396,900,5,SPPA-MAT-0.1,evidence_calibrated_procedural_roles,0,21368,2083,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_part_material_low_conf/biker/biker.obj,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_part_material_low_conf/biker/biker.materials.json
tree,sppa_flat,50,0.20775000302819535,0.22990000434219837,1.324700002442114,0.0017999991541728377,288,236,488,1,,flat_or_class_color_control,0,12255,0,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_flat/tree/tree.obj,
tree,sppa_class_color,50,0.2132500012521632,0.22520001220982522,1.1118999973405153,0.00100000761449337,288,236,488,1,,flat_or_class_color_control,0,12256,0,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_class_color/tree/tree.obj,
tree,sppa_part_material,50,0.20549999317154288,0.21479999122675508,0.8190999942598864,0.39000000106170774,288,236,488,3,SPPA-MAT-0.1,evidence_calibrated_procedural_roles,0,12385,1351,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_part_material/tree/tree.obj,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_part_material/tree/tree.materials.json
tree,sppa_part_material_low_conf,50,0.20774999575223774,0.22980000358074903,1.7716000002110377,0.38189999759197235,288,236,488,3,SPPA-MAT-0.1,evidence_calibrated_procedural_roles,0,12385,1420,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_part_material_low_conf/tree/tree.obj,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_part_material_low_conf/tree/tree.materials.json
car,sppa_flat,50,0.3235500043956563,0.5971999926259741,1.2418999976944178,0.0012999953469261527,448,408,864,1,,flat_or_class_color_control,0,20143,0,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_flat/car/car.obj,
car,sppa_class_color,50,0.3228999994462356,0.44920000073034316,2.0572999928845093,0.0016999983927235007,448,408,864,1,,flat_or_class_color_control,0,20142,0,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_class_color/car/car.obj,
car,sppa_part_material,50,0.5769999988842756,0.607299996772781,1.9516000029398128,0.7251999923028052,448,408,864,4,SPPA-MAT-0.1,evidence_calibrated_procedural_roles,0,20406,1644,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_part_material/car/car.obj,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_part_material/car/car.materials.json
car,sppa_part_material_low_conf,50,0.42640000174287707,0.5777000042144209,1.5315999917220324,0.5031000036979094,448,408,864,4,SPPA-MAT-0.1,evidence_calibrated_procedural_roles,0,20406,1736,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_part_material_low_conf/car/car.obj,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_part_material_low_conf/car/car.materials.json
truck,sppa_flat,50,0.6778499882784672,0.7096000044839457,1.7107000021496788,0.0011999945854768157,856,786,1668,1,,flat_or_class_color_control,0,38931,0,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_flat/truck/truck.obj,
truck,sppa_class_color,50,0.6781999982194975,0.745400000596419,2.009200004977174,0.0013999961083754897,856,786,1668,1,,flat_or_class_color_control,0,38931,0,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_class_color/truck/truck.obj,
truck,sppa_part_material,50,0.6809999977122061,1.1221000022487715,2.3111000045901164,0.7713999948464334,856,786,1668,5,SPPA-MAT-0.1,evidence_calibrated_procedural_roles,0,39448,1976,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_part_material/truck/truck.obj,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_part_material/truck/truck.materials.json
truck,sppa_part_material_low_conf,50,0.6663499952992424,1.0454000002937391,2.0517999946605414,0.9106000070460141,856,786,1668,5,SPPA-MAT-0.1,evidence_calibrated_procedural_roles,0,39448,2091,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_part_material_low_conf/truck/truck.obj,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_part_material_low_conf/truck/truck.materials.json
tractor,sppa_flat,50,0.4904000015812926,0.6486000056611374,1.8109000084223226,0.001800013706088066,500,450,960,1,,flat_or_class_color_control,0,22469,0,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_flat/tractor/tractor.obj,
tractor,sppa_class_color,50,0.42209999810438603,0.7013000140432268,1.496999990195036,0.001500011421740055,500,450,960,1,,flat_or_class_color_control,0,22470,0,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_class_color/tractor/tractor.obj,
tractor,sppa_part_material,50,0.35229999775765464,0.38389999826904386,1.5032000083010644,0.6087999936426058,500,450,960,4,SPPA-MAT-0.1,evidence_calibrated_procedural_roles,0,22817,1661,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_part_material/tractor/tractor.obj,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_part_material/tractor/tractor.materials.json
tractor,sppa_part_material_low_conf,50,0.35415000456850976,0.5177999992156401,1.8614000000525266,0.5511000053957105,500,450,960,4,SPPA-MAT-0.1,evidence_calibrated_procedural_roles,0,22817,1753,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_part_material_low_conf/tractor/tractor.obj,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials/outputs/sppa_part_material_low_conf/tractor/tractor.materials.json
