label,method,reps,p50_build_ms,p95_build_ms,p50_export_ms,p95_export_ms,p50_manifest_ms,p95_manifest_ms,vertices,faces,triangles,material_count,descriptor_schema,material_policy,fallback_material_count,mesh_bytes,manifest_bytes,mesh_path,manifest_path
cow,sppa_flat,50,0.43649999133776873,0.48240000614896417,0.9072499960893765,0.975500006461516,0.0006499976734630764,0.00100000761449337,612,502,1056,1,,flat_or_class_color_control,0,26526,0,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_flat/cow/cow.obj,
cow,sppa_class_color,50,0.436950009316206,0.45589999353978783,0.9065500053111464,0.9522000036668032,0.000600004568696022,0.0007999915396794677,612,502,1056,1,,flat_or_class_color_control,0,26527,0,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_class_color/cow/cow.obj,
cow,sppa_part_material,50,0.4374999989522621,0.4870000120718032,0.9168000033241697,0.9534999990137294,0.23700000019744039,0.27740000223275274,612,502,1056,4,SPPA-MAT-0.1,evidence_calibrated_procedural_roles,0,26646,1641,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_part_material/cow/cow.obj,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_part_material/cow/cow.materials.json
cow,sppa_part_material_metadata_low_conf,50,0.4355500059318729,0.4896000027656555,0.9127000012085773,0.9529000089969486,0.23670000518905,0.2764999953797087,612,502,1056,4,SPPA-MAT-0.1,evidence_calibrated_procedural_roles,0,26646,1733,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_part_material_metadata_low_conf/cow/cow.obj,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_part_material_metadata_low_conf/cow/cow.materials.json
biker,sppa_flat,50,0.3490999952191487,0.4222999996272847,0.7918499977677129,0.8801000076346099,0.0006999907782301307,0.000800006091594696,488,396,900,1,,flat_or_class_color_control,0,21164,0,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_flat/biker/biker.obj,
biker,sppa_class_color,50,0.3483500040601939,0.3667999990284443,0.7861499980208464,0.8537999965483323,0.0005999900167807937,0.0007999915396794677,488,396,900,1,,flat_or_class_color_control,0,21166,0,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_class_color/biker/biker.obj,
biker,sppa_part_material,50,0.3512000112095848,0.4167000006418675,0.8049000025494024,0.8789999992586672,0.23360000341199338,0.2724999940255657,488,396,900,5,SPPA-MAT-0.1,evidence_calibrated_procedural_roles,0,21368,1968,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_part_material/biker/biker.obj,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_part_material/biker/biker.materials.json
biker,sppa_part_material_metadata_low_conf,50,0.3505999920889735,0.4096999909961596,0.7950500003062189,0.855800011777319,0.22499999613501132,0.2628999936860055,488,396,900,5,SPPA-MAT-0.1,evidence_calibrated_procedural_roles,0,21368,2083,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_part_material_metadata_low_conf/biker/biker.obj,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_part_material_metadata_low_conf/biker/biker.materials.json
tree,sppa_flat,50,0.22034999710740522,0.2539999986765906,0.563299996429123,0.7506999972974882,0.0005999972927384079,0.0012999953469261527,288,236,488,1,,flat_or_class_color_control,0,12255,0,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_flat/tree/tree.obj,
tree,sppa_class_color,50,0.21705000108340755,0.22539999918080866,0.5546499960473739,0.611299998126924,0.0005999900167807937,0.000700005330145359,288,236,488,1,,flat_or_class_color_control,0,12256,0,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_class_color/tree/tree.obj,
tree,sppa_part_material,50,0.21600000036414713,0.2826999989338219,0.5767500042566098,0.6656999903498217,0.18214999727206305,0.2597000129753724,288,236,488,3,SPPA-MAT-0.1,evidence_calibrated_procedural_roles,0,12385,1351,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_part_material/tree/tree.obj,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_part_material/tree/tree.materials.json
tree,sppa_part_material_metadata_low_conf,50,0.21559999731834978,0.23890000011306256,0.5748500043409877,0.6517000001622364,0.18109999655280262,0.23799999326001853,288,236,488,3,SPPA-MAT-0.1,evidence_calibrated_procedural_roles,0,12385,1420,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_part_material_metadata_low_conf/tree/tree.obj,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_part_material_metadata_low_conf/tree/tree.materials.json
car,sppa_flat,50,0.3308000013930723,0.3436999977566302,0.7624499994562939,0.8200000011129305,0.000600004568696022,0.000800006091594696,448,408,864,1,,flat_or_class_color_control,0,20143,0,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_flat/car/car.obj,
car,sppa_class_color,50,0.32830001146066934,0.36499999987427145,0.7633499990333803,0.8130000060191378,0.000600004568696022,0.000700005330145359,448,408,864,1,,flat_or_class_color_control,0,20142,0,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_class_color/car/car.obj,
car,sppa_part_material,50,0.3251000016462058,0.37889998930040747,0.7602500045322813,0.8399999933317304,0.2167999919038266,0.25379999715369195,448,408,864,4,SPPA-MAT-0.1,evidence_calibrated_procedural_roles,0,20406,1644,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_part_material/car/car.obj,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_part_material/car/car.materials.json
car,sppa_part_material_metadata_low_conf,50,0.32410000130767,0.38019999919924885,0.7492500080843456,0.815500010503456,0.21744999685324728,0.2437999937683344,448,408,864,4,SPPA-MAT-0.1,evidence_calibrated_procedural_roles,0,20406,1736,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_part_material_metadata_low_conf/car/car.obj,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_part_material_metadata_low_conf/car/car.materials.json
truck,sppa_flat,50,0.6661000006715767,0.7230999908642843,1.222550003149081,1.2857999972766265,0.000700005330145359,0.0008999923011288047,856,786,1668,1,,flat_or_class_color_control,0,38931,0,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_flat/truck/truck.obj,
truck,sppa_class_color,50,0.672800000756979,0.7104999967850745,1.2209500055178069,1.3116000045556575,0.000700005330145359,0.0010999938240274787,856,786,1668,1,,flat_or_class_color_control,0,38931,0,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_class_color/truck/truck.obj,
truck,sppa_part_material,50,0.66895000054501,0.6871000077808276,1.2140499966335483,1.319700008025393,0.305349996779114,0.3470999945420772,856,786,1668,5,SPPA-MAT-0.1,evidence_calibrated_procedural_roles,0,39448,1976,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_part_material/truck/truck.obj,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_part_material/truck/truck.materials.json
truck,sppa_part_material_metadata_low_conf,50,0.6673000025330111,0.7238000107463449,1.2223000012454577,1.2913999962620437,0.3053999971598387,0.3735000063898042,856,786,1668,5,SPPA-MAT-0.1,evidence_calibrated_procedural_roles,0,39448,2091,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_part_material_metadata_low_conf/truck/truck.obj,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_material_ablation/20260702_evidence_materials_corrected/outputs/sppa_part_material_metadata_low_conf/truck/truck.materials.json
