model,label,mesh_path,status,front_png,faces_total,faces_rendered,side_png,top_png,iso_png
sppa_class_color,biker,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\outputs\sppa_class_color\biker\biker.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_class_color\biker\front.png,900,900,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_class_color\biker\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_class_color\biker\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_class_color\biker\iso.png
sppa_class_color,car,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\outputs\sppa_class_color\car\car.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_class_color\car\front.png,864,864,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_class_color\car\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_class_color\car\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_class_color\car\iso.png
sppa_class_color,cow,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\outputs\sppa_class_color\cow\cow.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_class_color\cow\front.png,1056,1056,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_class_color\cow\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_class_color\cow\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_class_color\cow\iso.png
sppa_class_color,tractor,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\outputs\sppa_class_color\tractor\tractor.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_class_color\tractor\front.png,960,960,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_class_color\tractor\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_class_color\tractor\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_class_color\tractor\iso.png
sppa_class_color,tree,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\outputs\sppa_class_color\tree\tree.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_class_color\tree\front.png,488,488,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_class_color\tree\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_class_color\tree\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_class_color\tree\iso.png
sppa_class_color,truck,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\outputs\sppa_class_color\truck\truck.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_class_color\truck\front.png,1668,1668,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_class_color\truck\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_class_color\truck\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_class_color\truck\iso.png
sppa_flat,biker,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\outputs\sppa_flat\biker\biker.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_flat\biker\front.png,900,900,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_flat\biker\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_flat\biker\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_flat\biker\iso.png
sppa_flat,car,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\outputs\sppa_flat\car\car.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_flat\car\front.png,864,864,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_flat\car\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_flat\car\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_flat\car\iso.png
sppa_flat,cow,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\outputs\sppa_flat\cow\cow.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_flat\cow\front.png,1056,1056,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_flat\cow\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_flat\cow\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_flat\cow\iso.png
sppa_flat,tractor,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\outputs\sppa_flat\tractor\tractor.obj,ok,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_flat\tractor\front.png,960,960,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_flat\tractor\side.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_flat\tractor\top.png,D:\Deep-AeroTwin-UE57-Test\experiments\sppa_material_ablation\20260702_evidence_materials_corrected\views\models\sppa_flat\tractor\iso.png
