backend,count,repetition,action,sequence,payload_bytes,elapsed_ms,ok,managed_actors,static_mesh_components,estimated_triangles,estimated_draw_calls
no_render,2,0,create,0,529,0.076000,1,0,0,0,0
no_render,2,0,pose_update,1,602,0.048100,1,0,0,0,0
no_render,2,0,pose_update,2,602,0.040700,1,0,0,0,0
no_render,2,0,pose_update,3,575,0.059900,1,0,0,0,0
no_render,2,0,pose_update,4,603,0.051400,1,0,0,0,0
no_render,2,0,pose_update,5,603,0.052600,1,0,0,0,0
no_render,2,0,shape_param_update,1,541,0.047000,1,0,0,0,0
no_render,2,0,shape_param_update,2,541,0.047400,1,0,0,0,0
no_render,2,0,shape_param_update,3,542,0.046600,1,0,0,0,0
no_render,2,0,shape_param_update,4,542,0.050300,1,0,0,0,0
no_render,2,0,shape_param_update,5,542,0.054000,1,0,0,0,0
