variant,base_label,method,target_length_m,target_width_m,target_height_m,aabb_length_m,aabb_width_m,aabb_height_m,mean_dim_rel_error,p50_build_ms,p95_build_ms,triangles,mesh_path
car_compact,car,sppa_fixed,3.6,1.75,1.5,2.4,1.2812435565298212,1.2722276527763654,0.2510141298852862,0.21105000632815063,0.23839999630581588,864,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_open_label/outputs_scale/sppa_fixed/car_compact/car_compact.obj
car_compact,car,sppa_scaled,3.6,1.75,1.5,3.5999999999999996,1.75,1.5,4.111937128241321e-17,0.3615000023273751,0.38779999886173755,864,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_open_label/outputs_scale/sppa_scaled/car_compact/car_compact.obj
car_compact,car,box,3.6,1.75,1.5,3.6,1.75,1.5,0.0,0.0023000029614195228,0.002900007530115545,12,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_open_label/outputs_scale/box/car_compact/car_compact.obj
car_long,car,sppa_fixed,5.1,1.9,1.7,2.4,1.2812435565298212,1.2722276527763654,0.36890128107576986,0.2129500062437728,0.23800000781193376,864,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_open_label/outputs_scale/sppa_fixed/car_long/car_long.obj
car_long,car,sppa_scaled,5.1,1.9,1.7,5.1,1.9,1.6999999999999997,4.353815782843751e-17,0.35490000300342217,0.39570000080857426,864,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_open_label/outputs_scale/sppa_scaled/car_long/car_long.obj
car_long,car,box,5.1,1.9,1.7,5.1,1.9,1.7,0.0,0.0022999884095042944,0.0029999937396496534,12,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_open_label/outputs_scale/box/car_long/car_long.obj
truck_short,truck,sppa_fixed,5.2,2.3,2.7,3.56,1.3612435565298213,1.2822276527763652,0.4162134867161731,0.44925000111106783,0.47649999032728374,1668,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_open_label/outputs_scale/sppa_fixed/truck_short/truck_short.obj
truck_short,truck,sppa_scaled,5.2,2.3,2.7,5.2,2.3,2.7000000000000006,5.482582837655094e-17,0.7230000046547502,0.793700004578568,1668,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_open_label/outputs_scale/sppa_scaled/truck_short/truck_short.obj
truck_short,truck,box,5.2,2.3,2.7,5.2,2.3,2.7,0.0,0.0023000029614195228,0.0033999967854470015,12,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_open_label/outputs_scale/box/truck_short/truck_short.obj
truck_long,truck,sppa_fixed,8.2,2.55,3.05,3.56,1.3612435565298213,1.2822276527763652,0.5372100489562887,0.4536499982350506,0.4839999892283231,1668,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_open_label/outputs_scale/sppa_fixed/truck_long/truck_long.obj
truck_long,truck,sppa_scaled,8.2,2.55,3.05,8.2,2.55,3.05,0.0,0.7334999972954392,0.7834999996703118,1668,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_open_label/outputs_scale/sppa_scaled/truck_long/truck_long.obj
truck_long,truck,box,8.2,2.55,3.05,8.2,2.55,3.05,0.0,0.0022000021999701858,0.002700006007216871,12,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_open_label/outputs_scale/box/truck_long/truck_long.obj
tractor_small,tractor,sppa_fixed,3.1,1.8,2.1,2.585,1.3332050807568876,1.745,0.1981690539987672,0.23825000243959948,0.24310000299010426,960,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_open_label/outputs_scale/sppa_fixed/tractor_small/tractor_small.obj
tractor_small,tractor,sppa_scaled,3.1,1.8,2.1,3.1,1.8,2.1,0.0,0.4071000003023073,0.41280000004917383,960,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_open_label/outputs_scale/sppa_scaled/tractor_small/tractor_small.obj
tractor_small,tractor,box,3.1,1.8,2.1,3.1,1.8,2.1,0.0,0.0023000029614195228,0.0030999945010989904,12,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_open_label/outputs_scale/box/tractor_small/tractor_small.obj
tractor_large,tractor,sppa_fixed,4.8,2.35,2.8,2.585,1.3332050807568876,1.745,0.42364091221955663,0.2326500034541823,0.2517000102670863,960,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_open_label/outputs_scale/sppa_fixed/tractor_large/tractor_large.obj
tractor_large,tractor,sppa_scaled,4.8,2.35,2.8,4.8,2.35,2.8,0.0,0.40255000203615054,0.41689998761285096,960,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_open_label/outputs_scale/sppa_scaled/tractor_large/tractor_large.obj
tractor_large,tractor,box,4.8,2.35,2.8,4.8,2.35,2.8,0.0,0.0022000021999701858,0.002900007530115545,12,D:/Deep-AeroTwin-UE57-Test/experiments/sppa_scale_variants/20260702_open_label/outputs_scale/box/tractor_large/tractor_large.obj
