variant,material_role,primitive,center_x,center_y,center_z,scale_0,scale_1,scale_2
short,vehicle_body,box,-0.883,0.0,1.3959,2.26308,2.116,1.296
short,vehicle_cab,box,1.20654,0.0,1.72395,1.656,2.07,1.9521
short,vehicle_tire,torus,-1.52908,-1.05604,0.48546,0.3915,0.09396,14.0
short,vehicle_tire,torus,-1.52908,1.05604,0.48546,0.3915,0.09396,14.0
short,vehicle_tire,torus,-0.23692,-1.05604,0.48546,0.3915,0.09396,14.0
short,vehicle_tire,torus,-0.23692,1.05604,0.48546,0.3915,0.09396,14.0
short,vehicle_tire,torus,1.50462,-1.05604,0.48546,0.3915,0.09396,14.0
short,vehicle_tire,torus,1.50462,1.05604,0.48546,0.3915,0.09396,14.0
long,vehicle_body,box,-0.9205,0.0,1.3959,5.18808,2.116,1.296
long,vehicle_cab,box,2.70654,0.0,1.72395,1.656,2.07,1.9521
long,vehicle_tire,torus,-3.02908,-1.05604,0.48546,0.3915,0.09396,14.0
long,vehicle_tire,torus,-3.02908,1.05604,0.48546,0.3915,0.09396,14.0
long,vehicle_tire,torus,-0.9205,-1.05604,0.48546,0.3915,0.09396,14.0
long,vehicle_tire,torus,-0.9205,1.05604,0.48546,0.3915,0.09396,14.0
long,vehicle_tire,torus,1.18808,-1.05604,0.48546,0.3915,0.09396,14.0
long,vehicle_tire,torus,1.18808,1.05604,0.48546,0.3915,0.09396,14.0
long,vehicle_tire,torus,3.00462,-1.05604,0.48546,0.3915,0.09396,14.0
long,vehicle_tire,torus,3.00462,1.05604,0.48546,0.3915,0.09396,14.0
