baseline,count,repetition,updates_per_actor,create_total_ms,create_per_actor_ms,pose_update_total_ms,pose_update_per_actor_update_ms,shape_update_total_ms,shape_update_per_actor_ms,actors_after_create,actors_after_pose,actors_after_shape,components_after_create,components_after_pose,components_after_shape,component_names_reused_during_pose,component_names_reused_during_shape,create_payload_bytes,pose_payload_bytes_total,shape_payload_bytes,create_ok,pose_ok,shape_ok,mode
unreal_assets,10,0,5,3.8404999941121787,0.38404999941121787,0.7696999964537099,0.015393999929074198,0.23370000417344272,0.023370000417344272,10,10,10,10,10,10,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,10,1,5,3.3663000067463145,0.33663000067463145,0.7318999996641651,0.014637999993283302,0.20739999308716506,0.020739999308716506,10,10,10,10,10,10,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,10,2,5,3.3213999995496124,0.33213999995496124,0.7218999962788075,0.01443799992557615,0.20379999477881938,0.020379999477881938,10,10,10,10,10,10,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,10,3,5,3.1700999970780686,0.31700999970780686,0.7114000036381185,0.01422800007276237,0.2074999938486144,0.02074999938486144,10,10,10,10,10,10,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,10,4,5,3.190200004610233,0.3190200004610233,0.6995000003371388,0.013990000006742775,0.20249999943189323,0.020249999943189323,10,10,10,10,10,10,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,10,5,5,3.1707000016467646,0.31707000016467646,0.6920000014360994,0.013840000028721988,0.20179999410174787,0.020179999410174787,10,10,10,10,10,10,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,10,6,5,3.236999997170642,0.3236999997170642,0.7399999885819852,0.014799999771639705,0.20650000078603625,0.020650000078603625,10,10,10,10,10,10,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,10,7,5,3.1718999962322414,0.31718999962322414,0.709700005245395,0.0141940001049079,0.2018000086536631,0.02018000086536631,10,10,10,10,10,10,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,10,8,5,3.153300000121817,0.3153300000121817,0.6943000043975189,0.013886000087950379,0.20330000552348793,0.020330000552348793,10,10,10,10,10,10,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
unreal_assets,10,9,5,3.235399999539368,0.3235399999539368,0.7111999875633046,0.014223999751266092,0.20659998699557036,0.020659998699557036,10,10,10,10,10,10,1,1,58434,14113,3874,1,1,1,Component payload replay via ApplyObstacleBatchJson
