comparison,target_baseline,reference_baseline,count,action,n,delta_batch_ms_mean,delta_batch_ms_p50,delta_batch_ms_p95,delta_batch_ms_max,delta_batch_ms_mean_ci95_low,delta_batch_ms_mean_ci95_high,delta_per_actor_ms_p50,delta_per_actor_ms_p95,components_delta,payload_bytes_delta_mean
unreal_assets_minus_no_render,unreal_assets,no_render,10,create,10,0.7252000039443374,0.5383000243455172,4.8796000046422705,4.8796000046422705,-0.22054999717511237,1.972860006208066,0.053830002434551716,0.48796000046422705,10,0.0
unreal_assets_minus_no_render,unreal_assets,no_render,10,pose_poll,50,-0.03636200010078028,-0.018699996871873736,1.8079000001307577,1.9603999971877784,-0.42185400088783354,0.2599340002052486,-0.0018699996871873736,0.18079000001307577,10,0.0
unreal_assets_minus_no_render,unreal_assets,no_render,10,shape,10,-0.19945999811170623,-0.23389999114442617,-0.03890000516548753,-0.03890000516548753,-0.2599500003270805,-0.13603999541373923,-0.023389999114442617,-0.003890000516548753,10,0.0
unreal_assets_minus_no_render,unreal_assets,no_render,50,create,10,4.909369997039903,4.111699992790818,8.751399989705533,8.751399989705533,3.2061099947895855,6.452879999415018,0.08223399985581636,0.17502799979411066,50,0.0
unreal_assets_minus_no_render,unreal_assets,no_render,50,pose_poll,50,0.19320799881825224,0.07789999654050916,2.373099996475503,3.112400008831173,-0.09233200020389631,0.4980559984687716,0.0015579999308101833,0.04746199992951006,50,0.0
unreal_assets_minus_no_render,unreal_assets,no_render,50,shape,10,0.5767499998910353,0.4040999920107424,3.0009000038262457,3.0009000038262457,-0.23614000238012522,1.5289200004190207,0.008081999840214849,0.06001800007652491,50,0.0
unreal_assets_minus_no_render,unreal_assets,no_render,100,create,10,1.7857999991974793,-2.7049000054830685,51.47340000257827,51.47340000257827,-11.669859998801257,16.232019997551106,-0.027049000054830685,0.5147340000257827,100,0.0
unreal_assets_minus_no_render,unreal_assets,no_render,100,pose_poll,50,-0.19583600049372762,0.086499989265576,3.0593999981647357,9.55769998836331,-1.0378880010102876,0.6056179979350418,0.00086499989265576,0.030593999981647357,100,0.0
unreal_assets_minus_no_render,unreal_assets,no_render,100,shape,10,0.056350004160776734,1.254500006325543,3.722800000105053,3.722800000105053,-1.902069995412603,1.7887700043502264,0.01254500006325543,0.03722800000105053,100,0.0
unreal_assets_minus_no_render,unreal_assets,no_render,250,create,10,11.076379999576602,16.8954999971902,41.29149999062065,41.29149999062065,-7.736450002994388,27.190039996639825,0.0675819999887608,0.1651659999624826,250,0.0
unreal_assets_minus_no_render,unreal_assets,no_render,250,pose_poll,50,-0.48380599764641374,0.7541999948443845,3.3724999957485124,3.8783000054536387,-1.7168959986884147,0.5766780031262897,0.003016799979377538,0.01348999998299405,250,0.0
unreal_assets_minus_no_render,unreal_assets,no_render,250,shape,10,-1.1986400044406764,1.0781000019051135,4.072299998369999,4.072299998369999,-5.505160005122889,2.0195099961711094,0.004312400007620454,0.016289199993479997,250,0.0
unreal_assets_minus_no_render,unreal_assets,no_render,500,create,10,27.379560002009384,24.000199991860427,196.21799999731593,196.21799999731593,-32.93903999874601,80.91551000106847,0.048000399983720854,0.39243599999463186,500,0.0
unreal_assets_minus_no_render,unreal_assets,no_render,500,pose_poll,50,3.8863319988013245,3.411099998629652,15.74570000229869,31.385800015414134,1.8871559971012175,5.806077998422552,0.006822199997259304,0.03149140000459738,500,0.0
unreal_assets_minus_no_render,unreal_assets,no_render,500,shape,10,2.800169996044133,2.903599990531802,11.629399989033118,11.629399989033118,0.8618799955002032,5.20443999703275,0.005807199981063604,0.023258799978066236,500,0.0
semantic_proxy_minus_no_render,semantic_proxy,no_render,10,create,10,10.555570003634784,10.890900011872873,12.707600006251596,12.707600006251596,9.388920007040724,11.65384000778431,1.0890900011872873,1.2707600006251596,110,0.0
semantic_proxy_minus_no_render,semantic_proxy,no_render,10,pose_poll,50,-0.11674599983962253,-0.0109999964479357,1.313600005232729,1.4561999996658415,-0.5205820000264794,0.1391100004548207,-0.00109999964479357,0.1313600005232729,110,0.0
semantic_proxy_minus_no_render,semantic_proxy,no_render,10,shape,10,0.12221000069985166,-0.26390000130049884,1.409000004059635,1.409000004059635,-0.24855000374373049,0.5042800010414794,-0.026390000130049884,0.1409000004059635,110,0.0
semantic_proxy_minus_no_render,semantic_proxy,no_render,50,create,10,35.177119995933026,33.30389999609906,45.49560000305064,45.49560000305064,30.83326999330893,39.389559999108315,0.6660779999219812,0.9099120000610128,268,0.0
semantic_proxy_minus_no_render,semantic_proxy,no_render,50,pose_poll,50,1.0518159967614338,0.9231999865733087,3.73879999096971,3.8447000115411356,0.7346599968150258,1.3594839969300665,0.018463999731466174,0.0747759998193942,268,0.0
semantic_proxy_minus_no_render,semantic_proxy,no_render,50,shape,10,2.313620001950767,2.2259999968810007,4.49960000696592,4.49960000696592,1.6040400019846857,2.9849900063709356,0.044519999937620014,0.0899920001393184,268,0.0
semantic_proxy_minus_no_render,semantic_proxy,no_render,100,create,10,72.65866000088863,68.36399999156129,106.36289999820292,106.36289999820292,58.64087000663858,86.23735999572091,0.6836399999156129,1.0636289999820292,536,0.0
semantic_proxy_minus_no_render,semantic_proxy,no_render,100,pose_poll,50,3.9499780000187457,2.6225999899907038,15.236500010360032,22.442999994382262,2.428046000713948,5.525621999404393,0.026225999899907038,0.15236500010360032,536,0.0
semantic_proxy_minus_no_render,semantic_proxy,no_render,100,shape,10,6.67862000700552,4.408000007970259,24.790700015728362,24.790700015728362,3.8017300073988736,11.022320009942632,0.044080000079702586,0.24790700015728362,536,0.0
semantic_proxy_minus_no_render,semantic_proxy,no_render,250,create,10,214.09309999871766,186.05180000304244,378.0936999974074,378.0936999974074,183.4557500013034,256.7822399971192,0.7442072000121698,1.5123747999896295,1340,0.0
semantic_proxy_minus_no_render,semantic_proxy,no_render,250,pose_poll,50,6.673660001833923,6.506200006697327,16.935099993133917,23.657900004764087,5.363120002439246,8.20379400101956,0.026024800026789308,0.06774039997253567,1340,0.0
semantic_proxy_minus_no_render,semantic_proxy,no_render,250,shape,10,11.22718999395147,11.296099983155727,27.677899997797795,27.677899997797795,6.04503999784356,16.029589994286653,0.04518439993262291,0.11071159999119118,1340,0.0
semantic_proxy_minus_no_render,semantic_proxy,no_render,500,create,10,361.7128500001854,364.1067000135081,464.8837000131607,464.8837000131607,320.34337999648415,398.91216000396525,0.7282134000270162,0.9297674000263214,2680,0.0
semantic_proxy_minus_no_render,semantic_proxy,no_render,500,pose_poll,50,13.17526399914641,13.710300001548603,18.398700005491264,22.923199998331256,11.93276399950264,14.263687998754904,0.027420600003097206,0.03679740001098253,2680,0.0
semantic_proxy_minus_no_render,semantic_proxy,no_render,500,shape,10,21.638219995656982,21.109499997692183,30.896999989636242,30.896999989636242,18.101029997342266,25.019659993995447,0.042218999995384365,0.061793999979272485,2680,0.0
semantic_proxy_minus_unreal_assets,semantic_proxy,unreal_assets,10,create,10,9.830369999690447,9.08519999939017,12.502799989306368,12.502799989306368,8.6844999997993,10.894739997456782,0.908519999939017,1.2502799989306368,100,0.0
semantic_proxy_minus_unreal_assets,semantic_proxy,unreal_assets,10,pose_poll,50,-0.08038399973884225,-0.01920000067912042,1.5042000013636425,1.764900007401593,-0.27913799945963547,0.12712800147710368,-0.0019200000679120421,0.15042000013636425,100,0.0
semantic_proxy_minus_unreal_assets,semantic_proxy,unreal_assets,10,shape,10,0.3216699988115579,-0.07660000119358301,1.708900002995506,1.708900002995506,-0.05469000025186688,0.7155099956435151,-0.007660000119358301,0.1708900002995506,100,0.0
semantic_proxy_minus_unreal_assets,semantic_proxy,unreal_assets,50,create,10,30.267749998893123,29.933099998743273,41.76259999803733,41.76259999803733,25.32976000366034,34.936600002401974,0.5986619999748655,0.8352519999607466,218,0.0
semantic_proxy_minus_unreal_assets,semantic_proxy,unreal_assets,50,pose_poll,50,0.8586079979431815,0.9338999952888116,3.736300001037307,4.085799984750338,0.5421479980577715,1.1831159965367988,0.018677999905776232,0.07472600002074614,218,0.0
semantic_proxy_minus_unreal_assets,semantic_proxy,unreal_assets,50,shape,10,1.7368700020597316,1.8794999923557043,3.075700005865656,3.075700005865656,1.166170000215061,2.292820005095564,0.037589999847114086,0.06151400011731312,218,0.0
semantic_proxy_minus_unreal_assets,semantic_proxy,unreal_assets,100,create,10,70.87286000169115,65.37310000567231,114.1736999998102,114.1736999998102,61.98089999961667,82.55020000215154,0.6537310000567231,1.141736999998102,436,0.0
semantic_proxy_minus_unreal_assets,semantic_proxy,unreal_assets,100,pose_poll,50,4.145814000512473,2.1622999920509756,19.597300022724085,25.299500004621223,2.48229199933121,5.7747299989569,0.021622999920509756,0.19597300022724085,436,0.0
semantic_proxy_minus_unreal_assets,semantic_proxy,unreal_assets,100,shape,10,6.622270002844743,4.766600002767518,22.35030001611449,22.35030001611449,3.7373700048192404,10.682990004715975,0.04766600002767518,0.22350300016114488,436,0.0
semantic_proxy_minus_unreal_assets,semantic_proxy,unreal_assets,250,create,10,203.01671999914106,171.86729999957606,441.12640000821557,441.12640000821557,169.60445999866351,259.2064800017397,0.6874691999983042,1.7645056000328623,1090,0.0
semantic_proxy_minus_unreal_assets,semantic_proxy,unreal_assets,250,pose_poll,50,7.157465999480337,5.791099989437498,15.045300009660423,34.86430000339169,5.771897999511566,8.93016199930571,0.023164399957749993,0.06018120003864169,1090,0.0
semantic_proxy_minus_unreal_assets,semantic_proxy,unreal_assets,250,shape,10,12.425829998392146,10.171499990974553,35.343099996680394,35.343099996680394,8.149239998601843,17.96893999708118,0.04068599996389821,0.14137239998672158,1090,0.0
semantic_proxy_minus_unreal_assets,semantic_proxy,unreal_assets,500,create,10,334.33328999817604,355.00780001166277,409.9409999907948,409.9409999907948,280.06676000222797,372.6113099924987,0.7100156000233255,0.8198819999815896,2180,0.0
semantic_proxy_minus_unreal_assets,semantic_proxy,unreal_assets,500,pose_poll,50,9.288932000345085,9.624600017559715,15.462600000319071,17.785500007448718,7.755418001906946,10.659458000445738,0.01924920003511943,0.030925200000638142,2180,0.0
semantic_proxy_minus_unreal_assets,semantic_proxy,unreal_assets,500,shape,10,18.83804999961285,19.890199997462332,26.09630000370089,26.09630000370089,14.64561999309808,22.201810000115074,0.039780399994924664,0.05219260000740178,2180,0.0
