baseline,count,action,n,batch_total_ms_mean,batch_total_ms_p50,batch_total_ms_p95,batch_total_ms_max,per_actor_ms_p50,per_actor_ms_p95,http_requests,components_after_action,payload_bytes_mean
no_render,10,create,10,11.982479997095652,11.813300006906502,13.48399999551475,13.48399999551475,1.1813300006906502,1.348399999551475,10,0,58384
no_render,10,pose_poll,50,5.907016001001466,5.716699990443885,6.826500000897795,7.642600001418032,0.5716699990443885,0.6826500000897795,50,0,12707.6
no_render,10,shape,10,5.52657999942312,5.622099997708574,7.496300007915124,7.496300007915124,0.5622099997708574,0.7496300007915124,10,0,10345
no_render,50,create,10,32.59773999743629,32.886500004678965,36.22429999813903,36.22429999813903,0.6577300000935793,0.7244859999627806,10,0,246060
no_render,50,pose_poll,50,12.35041000007186,12.29810000222642,14.271199994254857,14.709800001583062,0.2459620000445284,0.28542399988509715,50,0,76128.4
no_render,50,shape,10,9.205980003753211,8.921200002077967,10.384300010628067,10.384300010628067,0.17842400004155934,0.20768600021256134,10,0,52191
no_render,100,create,10,62.99978999886662,63.54269999428652,67.13890000537504,67.13890000537504,0.6354269999428652,0.6713890000537504,10,0,492107
no_render,100,pose_poll,50,20.02091600006679,20.35129998694174,23.155200004111975,23.704899998847395,0.2035129998694174,0.23155200004111975,50,0,152241.4
no_render,100,shape,10,14.198780004517175,14.245300000766292,15.923300001304597,15.923300001304597,0.14245300000766292,0.15923300001304597,10,0,104367
no_render,250,create,10,156.6736900000251,159.22270000737626,162.9599000007147,162.9599000007147,0.636890800029505,0.6518396000028588,10,0,1230421
no_render,250,pose_poll,50,45.224505998485256,45.509100003982894,48.59019999275915,48.77320000377949,0.18203640001593158,0.1943607999710366,50,0,380750.8
no_render,250,shape,10,29.547150000871625,29.91199999814853,32.00860001379624,32.00860001379624,0.11964799999259412,0.12803440005518496,10,0,261060
no_render,500,create,10,321.57384999882197,329.78000000002794,366.99729999236297,366.99729999236297,0.6595600000000559,0.7339945999847259,10,0,2460928
no_render,500,pose_poll,50,88.63097599969478,87.92259999609087,104.13890000199899,107.72339999675751,0.17584519999218173,0.20827780000399798,50,0,761586.2
no_render,500,shape,10,56.63133999914862,55.84159999853,65.08829999074806,65.08829999074806,0.11168319999706,0.1301765999814961,10,0,522206
unreal_assets,10,create,10,12.667930003954098,12.139400001615286,14.565100005711429,14.565100005711429,1.2139400001615286,1.4565100005711429,10,10,58384
unreal_assets,10,pose_poll,50,6.168969998834655,6.054299999959767,7.239700003992766,7.577800002763979,0.6054299999959767,0.7239700003992766,50,10,12707.6
unreal_assets,10,shape,10,5.616880000161473,5.89459999173414,6.40350001049228,6.40350001049228,0.589459999173414,0.640350001049228,10,10,10345
unreal_assets,50,create,10,34.78998000064166,34.05349999957252,39.1139999992447,39.1139999992447,0.6810699999914505,0.782279999984894,10,50,246060
unreal_assets,50,pose_poll,50,12.23182799963979,12.227200000779703,14.714299992192537,15.35459999286104,0.24454400001559407,0.29428599984385073,50,50,76128.4
