Claude | 2067x1123
AirTraffic (64-bit Development PCD3D_SM6)  | 656x679
MiAulario/NireIkasgelategia : 25_0_506108_1_G ESTRUCTURA DE DATOS : Correo interno - Google Chrome | 2062x1118
26_final - Explorador de archivos | 2208x1200
Message Log | 1439x821
AirTraffic - Unreal Editor | 1536x816
D:\conscience_oepm_pure_kernel\conscience_vla\.venv-vla\Scripts\python.exe | 1144x629
Configuración | 2194x1187
Configuración | 2208x1200
Descargas - Explorador de archivos | 158x26
segundo_semestre - Explorador de archivos | 158x26
*aidan moran 7: Bloc de notas | 158x26
04_paper_patent - Explorador de archivos | 158x26
swarmui - Explorador de archivos | 158x26
Experiencia de entrada de Windows | 2194x1234
Repaso_Python_reestructurado_completo_comentado_revisado_basico_todo_comentado.ipynb - Visual Studio Code [Administrator] | 158x26
*- el ejercicio 5 (lo de los nombres: Bloc de notas | 158x26
Program Manager | 3657x1234
2
