scenario_id,frame_id,timestamp_s,truth_id,type,active,visible_to_detector,source_id,world_north_m,world_east_m,world_up_m
pipeline_b_degraded_link_operator_scene_v1,0,0.000,bike_01,bike,1,1,101,45.000,-18.000,0.000
pipeline_b_degraded_link_operator_scene_v1,0,0.000,cow_01,cow,0,0,,82.000,28.000,0.000
pipeline_b_degraded_link_operator_scene_v1,0,0.000,tower_01,tower,1,1,501,112.000,-42.000,18.000
pipeline_b_degraded_link_operator_scene_v1,1,0.100,bike_01,bike,1,1,101,45.085,-17.958,0.000
pipeline_b_degraded_link_operator_scene_v1,1,0.100,cow_01,cow,0,0,,82.000,28.000,0.000
pipeline_b_degraded_link_operator_scene_v1,1,0.100,tower_01,tower,1,1,501,112.000,-42.000,18.000
pipeline_b_degraded_link_operator_scene_v1,2,0.200,bike_01,bike,1,1,101,45.170,-17.916,0.000
pipeline_b_degraded_link_operator_scene_v1,2,0.200,cow_01,cow,0,0,,82.000,28.000,0.000
pipeline_b_degraded_link_operator_scene_v1,2,0.200,tower_01,tower,1,1,501,112.000,-42.000,18.000
pipeline_b_degraded_link_operator_scene_v1,3,0.300,bike_01,bike,1,1,101,45.255,-17.874,0.000
pipeline_b_degraded_link_operator_scene_v1,3,0.300,cow_01,cow,0,0,,82.000,28.000,0.000
pipeline_b_degraded_link_operator_scene_v1,3,0.300,tower_01,tower,1,1,501,112.000,-42.000,18.000
pipeline_b_degraded_link_operator_scene_v1,4,0.400,bike_01,bike,1,1,101,45.340,-17.832,0.000
pipeline_b_degraded_link_operator_scene_v1,4,0.400,cow_01,cow,0,0,,82.000,28.000,0.000
pipeline_b_degraded_link_operator_scene_v1,4,0.400,tower_01,tower,1,1,501,112.000,-42.000,18.000
pipeline_b_degraded_link_operator_scene_v1,5,0.500,bike_01,bike,1,1,101,45.425,-17.790,0.000
pipeline_b_degraded_link_operator_scene_v1,5,0.500,cow_01,cow,0,0,,82.000,28.000,0.000
pipeline_b_degraded_link_operator_scene_v1,5,0.500,tower_01,tower,1,1,501,112.000,-42.000,18.000
pipeline_b_degraded_link_operator_scene_v1,6,0.600,bike_01,bike,1,1,101,45.510,-17.748,0.000
pipeline_b_degraded_link_operator_scene_v1,6,0.600,cow_01,cow,0,0,,82.000,28.000,0.000
pipeline_b_degraded_link_operator_scene_v1,6,0.600,tower_01,tower,1,1,501,112.000,-42.000,18.000
pipeline_b_degraded_link_operator_scene_v1,7,0.700,bike_01,bike,1,1,101,45.595,-17.706,0.000
pipeline_b_degraded_link_operator_scene_v1,7,0.700,cow_01,cow,0,0,,82.000,28.000,0.000
pipeline_b_degraded_link_operator_scene_v1,7,0.700,tower_01,tower,1,1,501,112.000,-42.000,18.000
pipeline_b_degraded_link_operator_scene_v1,8,0.800,bike_01,bike,1,1,101,45.680,-17.664,0.000
pipeline_b_degraded_link_operator_scene_v1,8,0.800,cow_01,cow,0,0,,82.000,28.000,0.000
pipeline_b_degraded_link_operator_scene_v1,8,0.800,tower_01,tower,1,1,501,112.000,-42.000,18.000
pipeline_b_degraded_link_operator_scene_v1,9,0.900,bike_01,bike,1,1,101,45.765,-17.622,0.000
pipeline_b_degraded_link_operator_scene_v1,9,0.900,cow_01,cow,0,0,,82.000,28.000,0.000
pipeline_b_degraded_link_operator_scene_v1,9,0.900,tower_01,tower,1,1,501,112.000,-42.000,18.000
pipeline_b_degraded_link_operator_scene_v1,10,1.000,bike_01,bike,1,1,101,45.850,-17.580,0.000
pipeline_b_degraded_link_operator_scene_v1,10,1.000,cow_01,cow,0,0,,82.000,28.000,0.000
pipeline_b_degraded_link_operator_scene_v1,10,1.000,tower_01,tower,1,1,501,112.000,-42.000,18.000
pipeline_b_degraded_link_operator_scene_v1,11,1.100,bike_01,bike,1,1,101,45.935,-17.538,0.000
pipeline_b_degraded_link_operator_scene_v1,11,1.100,cow_01,cow,0,0,,82.000,28.000,0.000
pipeline_b_degraded_link_operator_scene_v1,11,1.100,tower_01,tower,1,1,501,112.000,-42.000,18.000
pipeline_b_degraded_link_operator_scene_v1,12,1.200,bike_01,bike,1,1,101,46.020,-17.496,0.000
pipeline_b_degraded_link_operator_scene_v1,12,1.200,cow_01,cow,0,0,,82.000,28.000,0.000
pipeline_b_degraded_link_operator_scene_v1,12,1.200,tower_01,tower,1,1,501,112.000,-42.000,18.000
pipeline_b_degraded_link_operator_scene_v1,13,1.300,bike_01,bike,1,1,101,46.105,-17.454,0.000
pipeline_b_degraded_link_operator_scene_v1,13,1.300,cow_01,cow,0,0,,82.000,28.000,0.000
pipeline_b_degraded_link_operator_scene_v1,13,1.300,tower_01,tower,1,1,501,112.000,-42.000,18.000
pipeline_b_degraded_link_operator_scene_v1,14,1.400,bike_01,bike,1,1,101,46.190,-17.412,0.000
pipeline_b_degraded_link_operator_scene_v1,14,1.400,cow_01,cow,0,0,,82.000,28.000,0.000
pipeline_b_degraded_link_operator_scene_v1,14,1.400,tower_01,tower,1,1,501,112.000,-42.000,18.000
pipeline_b_degraded_link_operator_scene_v1,15,1.500,bike_01,bike,1,1,101,46.275,-17.370,0.000
pipeline_b_degraded_link_operator_scene_v1,15,1.500,cow_01,cow,0,0,,82.000,28.000,0.000
pipeline_b_degraded_link_operator_scene_v1,15,1.500,tower_01,tower,1,1,501,112.000,-42.000,18.000
pipeline_b_degraded_link_operator_scene_v1,16,1.600,bike_01,bike,1,1,101,46.360,-17.328,0.000
pipeline_b_degraded_link_operator_scene_v1,16,1.600,cow_01,cow,0,0,,82.000,28.000,0.000
pipeline_b_degraded_link_operator_scene_v1,16,1.600,tower_01,tower,1,1,501,112.000,-42.000,18.000
pipeline_b_degraded_link_operator_scene_v1,17,1.700,bike_01,bike,1,1,101,46.445,-17.286,0.000
pipeline_b_degraded_link_operator_scene_v1,17,1.700,cow_01,cow,0,0,,82.000,28.000,0.000
pipeline_b_degraded_link_operator_scene_v1,17,1.700,tower_01,tower,1,1,501,112.000,-42.000,18.000
pipeline_b_degraded_link_operator_scene_v1,18,1.800,bike_01,bike,1,1,101,46.530,-17.244,0.000
pipeline_b_degraded_link_operator_scene_v1,18,1.800,cow_01,cow,0,0,,82.000,28.000,0.000
pipeline_b_degraded_link_operator_scene_v1,18,1.800,tower_01,tower,1,1,501,112.000,-42.000,18.000
pipeline_b_degraded_link_operator_scene_v1,19,1.900,bike_01,bike,1,1,101,46.615,-17.202,0.000
pipeline_b_degraded_link_operator_scene_v1,19,1.900,cow_01,cow,0,0,,82.000,28.000,0.000
pipeline_b_degraded_link_operator_scene_v1,19,1.900,tower_01,tower,1,1,501,112.000,-42.000,18.000
pipeline_b_degraded_link_operator_scene_v1,20,2.000,bike_01,bike,1,1,101,46.700,-17.160,0.000
pipeline_b_degraded_link_operator_scene_v1,20,2.000,cow_01,cow,0,0,,82.000,28.000,0.000
pipeline_b_degraded_link_operator_scene_v1,20,2.000,tower_01,tower,1,1,501,112.000,-42.000,18.000
pipeline_b_degraded_link_operator_scene_v1,21,2.100,bike_01,bike,1,1,101,46.785,-17.118,0.000
pipeline_b_degraded_link_operator_scene_v1,21,2.100,cow_01,cow,0,0,,82.000,28.000,0.000
pipeline_b_degraded_link_operator_scene_v1,21,2.100,tower_01,tower,1,1,501,112.000,-42.000,18.000
pipeline_b_degraded_link_operator_scene_v1,22,2.200,bike_01,bike,1,1,101,46.870,-17.076,0.000
pipeline_b_degraded_link_operator_scene_v1,22,2.200,cow_01,cow,0,0,,82.000,28.000,0.000
pipeline_b_degraded_link_operator_scene_v1,22,2.200,tower_01,tower,1,1,501,112.000,-42.000,18.000
pipeline_b_degraded_link_operator_scene_v1,23,2.300,bike_01,bike,1,1,101,46.955,-17.034,0.000
pipeline_b_degraded_link_operator_scene_v1,23,2.300,cow_01,cow,0,0,,82.000,28.000,0.000
pipeline_b_degraded_link_operator_scene_v1,23,2.300,tower_01,tower,1,1,501,112.000,-42.000,18.000
pipeline_b_degraded_link_operator_scene_v1,24,2.400,bike_01,bike,1,1,101,47.040,-16.992,0.000
