"Index","DOI","DOIResolverStatus","CrossrefType","Year","Venue","Title"
"1","10.1111/j.1460-2466.1992.tb00812.x","HTTP/1.1 302 Found","journal-article","1992","Journal of Communication","Defining Virtual Reality: Dimensions Determining Telepresence"
"2","10.1162/pres.1992.1.1.120","HTTP/1.1 302 Found","journal-article","1992","Presence: Teleoperators and Virtual Environments","Musings on Telepresence and Virtual Presence"
"3","10.1518/001872095779049543","HTTP/1.1 302 Found","journal-article","1995","Human Factors: The Journal of the Human Factors and Ergonomics Society","Toward a Theory of Situation Awareness in Dynamic Systems"
"4","10.1518/001872095779049499","HTTP/1.1 302 Found","journal-article","1995","Human Factors: The Journal of the Human Factors and Ergonomics Society","Measurement of Situation Awareness in Dynamic Systems"
"5","10.1177/00187208251412110","HTTP/1.1 302 Found","journal-article","2026","Human Factors: The Journal of the Human Factors and Ergonomics Society","Measuring Situation Awareness: A Meta-Review Across Domains"
"6","10.1016/S0166-4115(08)62386-9","HTTP/1.1 302 Found","book-chapter","1988","Advances in Psychology | Human Mental Workload","Development of NASA-TLX (Task Load Index): Results of Empirical and Theoretical Research"
"7","10.1177/154193120605000909","HTTP/1.1 302 Found","journal-article","2006","Proceedings of the Human Factors and Ergonomics Society Annual Meeting","Nasa-Task Load Index (NASA-TLX); 20 Years Later"
"8","10.1177/154193129804200119","HTTP/1.1 302 Found","journal-article","1998","Proceedings of the Human Factors and Ergonomics Society Annual Meeting","A Comparative Analysis of Sagat and Sart for Evaluations of Situation Awareness"
"9","10.1207/s15327108ijap0303_3","HTTP/1.1 302 Found","journal-article","1993","The International Journal of Aviation Psychology","Simulator Sickness Questionnaire: An Enhanced Method for Quantifying Simulator Sickness"
"10","10.1177/1729881420978544","HTTP/1.1 302 Found","journal-article","2021","International Journal of Advanced Robotic Systems","Immersive telepresence on the operation of unmanned vehicles"
"11","10.3390/s17081720","HTTP/1.1 302 Found","journal-article","2017","Sensors","Multi-Robot Interfaces and Operator Situational Awareness: Study of the Impact of Immersion and Prediction"
"12","10.3389/frvir.2024.1230885","HTTP/1.1 302 Found","journal-article","2024","Frontiers in Virtual Reality","Visual augmentation of live-streaming images in virtual reality to enhance teleoperation of unmanned ground vehicles"
"13","10.3389/frvir.2025.1487281","HTTP/1.1 302 Found","journal-article","2025","Frontiers in Virtual Reality","Impacts of 3D visualizations and virtual reality in display designs for remote monitoring of satellite operations"
"14","10.1007/s10055-025-01145-w","HTTP/1.1 302 Found","journal-article","2025","Virtual Reality","Augmented reality mobile digital twin for unmanned aerial vehicle wildfire prevention"
