file,metric,n,p50,p95,p99,max,mean
experiments\sppa_packaged_render\20260703T031115Z_packaged_render\package\Windows\AirTraffic\Saved\Profiling\CSV\Profile(20260703_051155).csv,FrameTime,75,5.3711,15.95811,89.91921600000052,165.2783,9.067949333333333
experiments\sppa_packaged_render\20260703T031115Z_packaged_render\package\Windows\AirTraffic\Saved\Profiling\CSV\Profile(20260703_051155).csv,GameThreadTime,75,1.3988,13.765769999999996,29.527282000000227,62.7945,3.126668
experiments\sppa_packaged_render\20260703T031115Z_packaged_render\package\Windows\AirTraffic\Saved\Profiling\CSV\Profile(20260703_051155).csv,RenderThreadTime,75,5.3767,6.967549999999998,56.85449600000065,150.6381,7.8931
experiments\sppa_packaged_render\20260703T031115Z_packaged_render\package\Windows\AirTraffic\Saved\Profiling\CSV\Profile(20260703_051155).csv,RenderThreadTime_CriticalPath,75,5.3778,6.967549999999998,56.88232000000065,150.6381,7.893930666666667
experiments\sppa_packaged_render\20260703T031115Z_packaged_render\package\Windows\AirTraffic\Saved\Profiling\CSV\Profile(20260703_051155).csv,RHIThreadTime,75,2.6919,4.562309999999999,9.6154,9.6154,3.001209333333333
experiments\sppa_packaged_render\20260703T031115Z_packaged_render\package\Windows\AirTraffic\Saved\Profiling\CSV\Profile(20260703_051155).csv,GPUTime,75,1.5126,1.7609999999999997,1.8693120000000008,1.9516,1.5450053333333333
experiments\sppa_packaged_render\20260703T031115Z_packaged_render\package\Windows\AirTraffic\Saved\Profiling\CSV\Profile(20260703_051155).csv,RHI/DrawCalls,76,878.0,881.0,881.0,881.0,855.0131578947369
experiments\sppa_packaged_render\20260703T031115Z_packaged_render\package\Windows\AirTraffic\Saved\Profiling\CSV\Profile(20260703_051155).csv,RHI/PrimitivesDrawn,76,190035.0,191569.5,191571.0,191571.0,184825.36842105264
experiments\sppa_packaged_render\20260703T031115Z_packaged_render\package\Windows\AirTraffic\Saved\Profiling\CSV\Profile(20260703_051155).csv,GPUSceneInstanceCount,76,437.0,437.0,437.0,437.0,437.0
experiments\sppa_packaged_render\20260703T031115Z_packaged_render\package\Windows\AirTraffic\Saved\Profiling\CSV\Profile(20260703_051155).csv,GPUMem/LocalUsedMB,76,3193.4922,3206.0547,3206.8047,3206.9922,3150.0741789473686
experiments\sppa_packaged_render\20260703T031115Z_packaged_render\package\Windows\AirTraffic\Saved\Profiling\CSV\Profile(20260703_051155).csv,GPUMem/LocalBudgetMB,76,31419.0,31419.0,31419.0,31419.0,31005.592105263157
experiments\sppa_packaged_render\20260703T031115Z_packaged_render\package\Windows\AirTraffic\Saved\Profiling\CSV\Profile(20260703_051155).csv,NumInstanceTransformUpdates,75,0.0,0.0,0.0,0.0,0.0
experiments\sppa_packaged_render\20260703T031115Z_packaged_render\package\Windows\AirTraffic\Saved\Profiling\CSV\Profile(20260703_051155).csv,Ticks/PorceSppaPackagedBenchmarkRunner,75,1.0,1.0,1.0,1.0,1.0
experiments\sppa_packaged_render\20260703T031115Z_packaged_render\package\Windows\AirTraffic\Saved\Profiling\CSV\Profile(20260703_051155).csv,Exclusive/RenderThread/AddPrimitiveSceneInfos,76,0.0004,0.000825,0.15085,0.5998,0.008319736842105263
