backend,count,repetition,phase,sample_type,frame_in_phase,delta_ms,fps,managed_actors,static_mesh_components,estimated_triangles,estimated_draw_calls
semantic_proxy_instanced,100,0,create_steady,warmup,0,57.713299,17.327028,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,1,13.354399,74.881699,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,2,26.345503,37.957142,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,3,13.334900,74.991188,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,4,9.278700,107.773720,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,5,11.115297,89.966103,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,6,14.526401,68.840179,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,7,8.639399,115.748795,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,8,9.184900,108.874344,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,9,9.363901,106.793098,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,10,11.291101,88.565315,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,11,7.705699,129.774063,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,12,7.529900,132.803894,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,13,7.592499,131.708939,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,14,7.813100,127.990173,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,15,8.473601,118.013580,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,16,7.926699,126.155922,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,17,9.592902,104.243744,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,18,7.737398,129.242416,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,19,8.251801,121.185661,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,20,8.343499,119.853790,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,21,8.126200,123.058762,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,22,8.623801,115.958145,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,23,7.862199,127.190880,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,24,7.642500,130.847229,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,25,7.868901,127.082550,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,26,7.931698,126.076408,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,27,8.151900,122.670792,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,28,9.482801,105.454071,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,warmup,29,8.565400,116.748779,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,measure,0,8.474499,118.001076,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,measure,1,7.633500,131.001511,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,measure,2,8.375902,119.390129,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,measure,3,7.951401,125.764000,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,measure,4,8.483500,117.875885,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,measure,5,8.561101,116.807411,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,measure,6,8.388199,119.215103,1,11,208864,11
semantic_proxy_instanced,100,0,create_steady,measure,7,7.610600,131.395676,1,11,208864,11
