backend,count,repetition,action,sequence,payload_bytes,elapsed_ms,ok,managed_actors,static_mesh_components,estimated_triangles,estimated_draw_calls
semantic_proxy_instanced,100,0,create,0,378577,20.571200,1,1,11,208864,11
semantic_proxy_instanced,100,0,pose_update,1,13270,1.548400,1,1,11,208864,11
semantic_proxy_instanced,100,0,pose_update,2,13305,1.475700,1,1,11,208864,11
semantic_proxy_instanced,100,0,pose_update,3,13373,1.756900,1,1,11,208864,11
semantic_proxy_instanced,100,0,pose_update,4,13055,1.362100,1,1,11,208864,11
semantic_proxy_instanced,100,0,pose_update,5,13257,1.497700,1,1,11,208864,11
semantic_proxy_instanced,100,0,pose_update,6,13301,1.484600,1,1,11,208864,11
semantic_proxy_instanced,100,0,pose_update,7,13234,1.439400,1,1,11,208864,11
semantic_proxy_instanced,100,0,pose_update,8,13278,1.607500,1,1,11,208864,11
semantic_proxy_instanced,100,0,pose_update,9,13213,1.256000,1,1,11,208864,11
semantic_proxy_instanced,100,0,pose_update,10,13266,1.638500,1,1,11,208864,11
semantic_proxy_instanced,100,0,shape_param_update,1,35970,2.464300,1,1,11,208864,11
semantic_proxy_instanced,100,0,shape_param_update,2,35568,2.756600,1,1,11,208864,11
semantic_proxy_instanced,100,0,shape_param_update,3,35923,2.451600,1,1,11,208864,11
semantic_proxy_instanced,100,0,shape_param_update,4,33321,2.078700,1,1,11,208864,11
semantic_proxy_instanced,100,0,shape_param_update,5,35637,2.420400,1,1,11,208864,11
semantic_proxy_instanced,100,0,shape_param_update,6,33725,2.331400,1,1,11,208864,11
semantic_proxy_instanced,100,0,shape_param_update,7,35630,2.480100,1,1,11,208864,11
semantic_proxy_instanced,100,0,shape_param_update,8,35859,2.384100,1,1,11,208864,11
semantic_proxy_instanced,100,0,shape_param_update,9,35480,2.400400,1,1,11,208864,11
semantic_proxy_instanced,100,0,shape_param_update,10,35531,2.492900,1,1,11,208864,11
semantic_proxy_instanced,100,1,create,0,378577,19.582000,1,1,11,208864,11
semantic_proxy_instanced,100,1,pose_update,1,13270,1.420000,1,1,11,208864,11
semantic_proxy_instanced,100,1,pose_update,2,13305,1.441600,1,1,11,208864,11
semantic_proxy_instanced,100,1,pose_update,3,13373,1.627500,1,1,11,208864,11
semantic_proxy_instanced,100,1,pose_update,4,13055,1.392300,1,1,11,208864,11
semantic_proxy_instanced,100,1,pose_update,5,13257,1.436700,1,1,11,208864,11
semantic_proxy_instanced,100,1,pose_update,6,13301,1.436000,1,1,11,208864,11
semantic_proxy_instanced,100,1,pose_update,7,13234,1.407800,1,1,11,208864,11
semantic_proxy_instanced,100,1,pose_update,8,13278,1.483900,1,1,11,208864,11
semantic_proxy_instanced,100,1,pose_update,9,13213,1.451600,1,1,11,208864,11
semantic_proxy_instanced,100,1,pose_update,10,13266,1.509600,1,1,11,208864,11
semantic_proxy_instanced,100,1,shape_param_update,1,35970,2.246200,1,1,11,208864,11
semantic_proxy_instanced,100,1,shape_param_update,2,35568,2.387200,1,1,11,208864,11
semantic_proxy_instanced,100,1,shape_param_update,3,35923,2.326700,1,1,11,208864,11
semantic_proxy_instanced,100,1,shape_param_update,4,33321,1.961500,1,1,11,208864,11
semantic_proxy_instanced,100,1,shape_param_update,5,35637,2.324600,1,1,11,208864,11
semantic_proxy_instanced,100,1,shape_param_update,6,33725,2.290000,1,1,11,208864,11
semantic_proxy_instanced,100,1,shape_param_update,7,35630,2.362900,1,1,11,208864,11
semantic_proxy_instanced,100,1,shape_param_update,8,35859,2.421000,1,1,11,208864,11
semantic_proxy_instanced,100,1,shape_param_update,9,35480,2.231700,1,1,11,208864,11
semantic_proxy_instanced,100,1,shape_param_update,10,35531,2.391400,1,1,11,208864,11
semantic_proxy_instanced,100,2,create,0,378577,19.331100,1,1,11,208864,11
semantic_proxy_instanced,100,2,pose_update,1,13270,1.506800,1,1,11,208864,11
semantic_proxy_instanced,100,2,pose_update,2,13305,1.825200,1,1,11,208864,11
semantic_proxy_instanced,100,2,pose_update,3,13373,1.403300,1,1,11,208864,11
semantic_proxy_instanced,100,2,pose_update,4,13055,1.371600,1,1,11,208864,11
semantic_proxy_instanced,100,2,pose_update,5,13257,1.362300,1,1,11,208864,11
semantic_proxy_instanced,100,2,pose_update,6,13301,1.527800,1,1,11,208864,11
semantic_proxy_instanced,100,2,pose_update,7,13234,1.565400,1,1,11,208864,11
semantic_proxy_instanced,100,2,pose_update,8,13278,1.466200,1,1,11,208864,11
semantic_proxy_instanced,100,2,pose_update,9,13213,1.490600,1,1,11,208864,11
semantic_proxy_instanced,100,2,pose_update,10,13266,1.296500,1,1,11,208864,11
semantic_proxy_instanced,100,2,shape_param_update,1,35970,2.310600,1,1,11,208864,11
semantic_proxy_instanced,100,2,shape_param_update,2,35568,2.384100,1,1,11,208864,11
semantic_proxy_instanced,100,2,shape_param_update,3,35923,2.348000,1,1,11,208864,11
semantic_proxy_instanced,100,2,shape_param_update,4,33321,2.123100,1,1,11,208864,11
semantic_proxy_instanced,100,2,shape_param_update,5,35637,2.282200,1,1,11,208864,11
semantic_proxy_instanced,100,2,shape_param_update,6,33725,2.868900,1,1,11,208864,11
semantic_proxy_instanced,100,2,shape_param_update,7,35630,2.139900,1,1,11,208864,11
semantic_proxy_instanced,100,2,shape_param_update,8,35859,2.477200,1,1,11,208864,11
semantic_proxy_instanced,100,2,shape_param_update,9,35480,2.317900,1,1,11,208864,11
semantic_proxy_instanced,100,2,shape_param_update,10,35531,2.437100,1,1,11,208864,11
semantic_proxy_instanced,250,0,create,0,944478,47.861000,1,1,11,516016,11
semantic_proxy_instanced,250,0,pose_update,1,33086,3.654400,1,1,11,516016,11
semantic_proxy_instanced,250,0,pose_update,2,32422,3.761600,1,1,11,516016,11
semantic_proxy_instanced,250,0,pose_update,3,32988,3.823700,1,1,11,516016,11
semantic_proxy_instanced,250,0,pose_update,4,32120,3.936800,1,1,11,516016,11
semantic_proxy_instanced,250,0,pose_update,5,32742,3.702900,1,1,11,516016,11
semantic_proxy_instanced,250,0,pose_update,6,32552,3.674600,1,1,11,516016,11
