epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5596,2.48717,8.65194,2.25724,0.00103,0.33333,0.00159,0.00022,1.99818,7.56478,1.98485,0.00016,0.00016,0.00016
2,16.1188,1.62227,7.51264,1.53039,0.0031,1,0.98391,0.53442,1.35785,5.71477,1.22067,0.00033439,0.00033439,0.00033439
3,17.6649,1.24378,5.36386,1.13041,0.0031,1,0.99173,0.56021,1.45027,5.65174,1.19075,0.00050284,0.00050284,0.00050284
4,19.163,1.31357,4.76748,1.14953,0.0031,1,0.99371,0.57459,1.34362,5.28497,1.10616,0.00066535,0.00066535,0.00066535
5,20.6259,1.10593,4.2551,1.09561,0.0031,1,0.9351,0.61689,1.14206,5.35953,1.01317,0.00082192,0.00082192,0.00082192
6,22.0743,0.9714,3.75988,1.02384,0.00305,0.98148,0.79588,0.41132,1.39978,5.21952,1.18223,0.00097255,0.00097255,0.00097255
7,23.6149,1.0246,4.15377,1.02748,1,0.58906,0.8852,0.34689,1.60343,5.39427,1.335,0.00111724,0.00111724,0.00111724
8,25.148,0.83323,3.54049,0.92979,1,0.6825,0.92333,0.33002,1.69056,5.43893,1.40869,0.00125599,0.00125599,0.00125599
9,26.5981,0.89217,3.24329,0.95137,1,0.70279,0.90522,0.4131,1.43648,5.47287,1.19239,0.0013888,0.0013888,0.0013888
10,28.0782,0.79851,3.58506,0.95665,1,0.80599,0.9603,0.42444,1.51999,4.99054,1.24122,0.00151567,0.00151567,0.00151567
11,29.5931,0.87716,3.30745,0.99899,0.94834,0.98148,0.98974,0.52756,1.5183,4.87442,1.28279,0.0016366,0.0016366,0.0016366
12,31.0428,0.91655,3.07922,1.00199,0.98661,1,0.995,0.61705,1.25273,4.36266,1.08764,0.001637,0.001637,0.001637
13,32.4691,0.72584,2.88624,0.91975,0.98159,0.98747,0.99482,0.63241,1.33276,4.08431,1.08844,0.001604,0.001604,0.001604
14,33.9344,0.67713,2.9467,0.90644,0.99088,0.98148,0.99415,0.69286,1.17859,4.1496,1.08617,0.001571,0.001571,0.001571
15,35.3636,0.74577,2.79785,0.93788,0.97998,0.90634,0.98091,0.63541,1.32753,4.05051,1.14887,0.001538,0.001538,0.001538
16,36.8957,0.74734,2.83049,0.93064,0.95793,0.84338,0.96294,0.65993,1.24639,3.90933,1.20259,0.001505,0.001505,0.001505
17,38.3652,0.70932,2.76829,0.93544,0.95094,1,0.98446,0.69962,1.20326,3.20125,1.17001,0.001472,0.001472,0.001472
18,39.8,0.58278,2.10995,0.87183,0.96099,1,0.99187,0.7131,1.18432,2.99351,1.15576,0.001439,0.001439,0.001439
19,41.3656,0.60947,2.21939,0.90329,0.96503,0.98148,0.98966,0.68484,1.13299,2.85134,1.13544,0.001406,0.001406,0.001406
20,42.8887,0.61009,1.83931,0.86002,0.92235,1,0.9861,0.71004,1.0732,2.76161,1.18238,0.001373,0.001373,0.001373
21,44.3913,0.6597,2.03721,0.91089,0.94437,1,0.98352,0.68099,1.18921,2.81315,1.24299,0.00134,0.00134,0.00134
22,45.8572,0.6018,1.80634,0.87203,0.98683,1,0.995,0.69624,1.16582,2.53305,1.17313,0.001307,0.001307,0.001307
