epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9327,3.22614,14.3908,2.69333,0.00132,0.42593,0.00322,0.00034,1.84872,7.18711,1.57653,0.00034,0.00034,0.00034
2,18.2993,1.57957,6.939,1.26321,0.00305,0.98148,0.93199,0.3526,1.50653,5.94793,1.22919,0.00068845,0.00068845,0.00068845
3,20.5979,1.4464,5.12113,1.17491,0.00305,0.98148,0.91235,0.22025,1.31565,5.66424,1.32794,0.00102502,0.00102502,0.00102502
4,22.9283,1.28059,4.81983,1.15317,0.89975,0.66486,0.8166,0.39808,1.58955,5.51796,1.5527,0.00134971,0.00134971,0.00134971
5,25.1704,1.13228,3.99787,1.11732,0.96569,0.52128,0.85507,0.44292,1.71662,5.43603,1.68287,0.00166252,0.00166252,0.00166252
6,27.4442,1.37869,4.10105,1.21744,0.94486,0.63479,0.92069,0.44607,1.77021,4.61856,1.62538,0.001835,0.001835,0.001835
7,29.7254,1.34255,3.64718,1.19101,0.98961,0.94444,0.96752,0.58531,1.55211,3.82995,1.43178,0.001802,0.001802,0.001802
8,31.9482,1.19483,3.35738,1.12484,0.9811,0.96124,0.99257,0.66623,1.23682,3.28689,1.26836,0.001769,0.001769,0.001769
9,34.2171,1.04079,2.75254,1.03757,0.98005,0.90955,0.94173,0.5775,1.60832,3.52089,1.48694,0.001736,0.001736,0.001736
10,36.4819,1.11497,2.51276,1.04849,0.92279,0.57407,0.64733,0.39795,1.98414,4.15672,1.72445,0.001703,0.001703,0.001703
11,38.7382,1.23136,2.55643,1.12229,1,0.75068,0.84209,0.45614,1.97025,3.54686,1.77621,0.00167,0.00167,0.00167
12,40.9979,1.05998,2.44864,1.07814,0.90048,0.85185,0.8963,0.54761,1.62036,2.95341,1.41905,0.001637,0.001637,0.001637
13,43.2561,0.93746,2.10112,1.03138,1,0.9056,0.9576,0.49155,1.81181,2.49871,1.59941,0.001604,0.001604,0.001604
14,45.5694,0.79851,1.96358,0.96351,0.98931,0.92593,0.95677,0.42461,2.02139,2.58538,1.85622,0.001571,0.001571,0.001571
15,47.8299,0.81553,1.76244,0.95787,0.99601,0.96296,0.96512,0.62963,1.43943,1.89153,1.4313,0.001538,0.001538,0.001538
16,50.0188,0.79916,1.66769,0.93512,1,0.96281,0.965,0.5146,1.7036,1.93548,1.64326,0.001505,0.001505,0.001505
17,52.203,0.78134,1.63418,0.92493,0.99866,0.96296,0.9656,0.64606,1.37225,1.81326,1.38075,0.001472,0.001472,0.001472
18,54.462,0.68644,1.48845,0.90235,1,0.95907,0.98059,0.59644,1.46353,1.77102,1.42448,0.001439,0.001439,0.001439
19,56.6933,0.67829,1.38997,0.90429,1,0.9567,0.965,0.54877,1.61735,1.74542,1.53477,0.001406,0.001406,0.001406
20,58.9341,0.71955,1.37388,0.9263,1,0.9425,0.96473,0.42358,2.13853,1.8475,2.01679,0.001373,0.001373,0.001373
21,61.1306,0.69401,1.38262,0.90416,1,0.95734,0.965,0.53497,1.71767,1.76299,1.63663,0.00134,0.00134,0.00134
22,63.3181,0.69689,1.37565,0.91342,0.99638,0.96296,0.965,0.38307,2.24153,1.89916,2.19657,0.001307,0.001307,0.001307
23,65.5192,0.70763,1.28773,0.91001,0.99721,0.96296,0.965,0.52766,1.75924,1.68748,1.67087,0.001274,0.001274,0.001274
24,67.7853,0.682,1.18785,0.89411,1,0.93894,0.965,0.33921,2.43546,2.11123,2.36415,0.001241,0.001241,0.001241
25,70.0002,0.66217,1.19208,0.87638,1,0.94773,0.965,0.50392,1.89981,1.83308,1.77181,0.001208,0.001208,0.001208
26,72.2123,0.64106,1.04412,0.87038,1,0.96043,0.965,0.50017,1.94098,1.53014,1.81977,0.001175,0.001175,0.001175
27,74.4601,0.58259,1.0511,0.86978,0.99858,0.96296,0.965,0.64445,1.45284,1.27658,1.45703,0.001142,0.001142,0.001142
28,76.6882,0.59996,1.04222,0.86105,0.99937,0.96296,0.965,0.56939,1.68938,1.44265,1.68752,0.001109,0.001109,0.001109
29,79.022,0.60714,1.17679,0.87615,1,0.962,0.965,0.62137,1.57525,1.37594,1.57836,0.001076,0.001076,0.001076
30,81.4782,0.52239,0.90114,0.85681,0.99648,0.96296,0.965,0.4423,2.01482,1.35388,1.98898,0.001043,0.001043,0.001043
31,83.7318,0.5098,0.88495,0.86006,0.9956,0.96296,0.965,0.53326,1.82386,1.35733,1.81559,0.00101,0.00101,0.00101
32,85.8933,0.50839,0.88593,0.86983,0.97921,0.94444,0.94462,0.4334,2.15524,1.3691,2.14676,0.000977,0.000977,0.000977
33,88.1156,0.49878,0.82677,0.87211,0.99821,0.96296,0.965,0.50632,1.96782,1.2899,1.90797,0.000944,0.000944,0.000944
34,90.3326,0.43692,0.78444,0.83885,0.99712,0.96296,0.965,0.49679,1.95645,1.30021,1.89555,0.000911,0.000911,0.000911
35,92.5256,0.43908,0.79055,0.8401,0.99796,0.96296,0.965,0.39522,2.33378,1.40696,2.37579,0.000878,0.000878,0.000878
36,94.8786,0.45564,0.78544,0.85048,0.99741,0.96296,0.965,0.50555,1.91605,1.35414,1.93101,0.000845,0.000845,0.000845
37,97.1847,0.47488,0.7897,0.84542,0.99731,0.96296,0.965,0.48782,1.91106,1.21647,1.95994,0.000812,0.000812,0.000812
38,99.5319,0.44572,0.74022,0.82991,0.99652,0.96296,0.965,0.54865,1.72211,1.08972,1.80059,0.000779,0.000779,0.000779
39,101.727,0.44169,0.74131,0.837,0.99711,0.96296,0.965,0.43762,2.12332,1.22453,2.20943,0.000746,0.000746,0.000746
40,103.938,0.40633,0.70088,0.83263,0.99639,0.96296,0.965,0.51164,1.9256,1.1381,1.9857,0.000713,0.000713,0.000713
41,106.138,0.43075,0.69063,0.83324,0.99806,0.96296,0.965,0.43949,2.14675,1.14521,2.21623,0.00068,0.00068,0.00068
42,108.402,0.3892,0.67941,0.82745,0.99092,0.96296,0.965,0.54296,1.83343,1.05952,1.90333,0.000647,0.000647,0.000647
43,110.565,0.40171,0.67984,0.80851,0.99925,0.96296,0.965,0.54131,1.8656,1.12077,1.9155,0.000614,0.000614,0.000614
44,112.708,0.38819,0.64655,0.8078,1,0.96046,0.965,0.55922,1.80026,1.09709,1.88011,0.000581,0.000581,0.000581
45,114.943,0.37318,0.64683,0.82243,0.99584,0.96296,0.965,0.55769,1.85932,1.09188,1.95973,0.000548,0.000548,0.000548
46,117.16,0.36231,0.63117,0.80863,0.99548,0.96296,0.965,0.57541,1.82027,1.03802,1.9257,0.000515,0.000515,0.000515
47,119.378,0.38572,0.62765,0.80132,0.99596,0.96296,0.965,0.56181,1.81581,1.02617,1.92645,0.000482,0.000482,0.000482
48,121.594,0.37555,0.62969,0.81743,1,0.94117,0.945,0.48103,2.01458,1.10409,2.12886,0.000449,0.000449,0.000449
49,123.785,0.34256,0.58865,0.819,0.99708,0.96296,0.965,0.55719,1.8053,1.03029,1.89078,0.000416,0.000416,0.000416
50,126.015,0.33808,0.57539,0.79367,0.99784,0.96296,0.965,0.48205,2.03285,1.11084,2.11711,0.000383,0.000383,0.000383
51,147.965,0.3225,0.70461,0.79653,1,0.94234,0.945,0.45249,2.15825,1.14037,2.24788,0.00035,0.00035,0.00035
52,150.116,0.33102,0.71849,0.79449,0.99906,0.96296,0.965,0.5207,1.9073,1.08725,1.97442,0.000317,0.000317,0.000317
53,152.259,0.39116,0.76689,0.82968,0.99959,0.96296,0.965,0.5165,1.92767,1.0662,1.96109,0.000284,0.000284,0.000284
54,154.445,0.32744,0.70623,0.82253,0.99931,0.96296,0.965,0.48221,2.04323,1.05266,2.05353,0.000251,0.000251,0.000251
55,156.626,0.2905,0.64518,0.80759,0.99987,0.96296,0.965,0.54792,1.81799,0.99097,1.81989,0.000218,0.000218,0.000218
56,158.753,0.30346,0.6854,0.81236,0.99963,0.96296,0.965,0.54143,1.84129,1.01157,1.83642,0.000185,0.000185,0.000185
57,160.922,0.28516,0.64721,0.79986,1,0.96176,0.965,0.52259,1.92408,1.03048,1.91769,0.000152,0.000152,0.000152
58,163.091,0.27591,0.64713,0.78944,1,0.96099,0.965,0.5377,1.84248,1.00029,1.84778,0.000119,0.000119,0.000119
59,165.201,0.26466,0.6415,0.79259,1,0.96204,0.965,0.5406,1.8164,0.99903,1.82642,8.6e-05,8.6e-05,8.6e-05
60,167.295,0.24648,0.61444,0.77334,0.99921,0.96296,0.965,0.5366,1.85959,1.00275,1.87441,5.3e-05,5.3e-05,5.3e-05
