epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4394,3.36612,12.5132,2.79182,0,0,0,0,2.86569,7.40189,2.61628,0.00042,0.00042,0.00042
2,20.9814,2.87303,9.34019,2.30922,0,0,0,0,3.13589,7.97341,2.86522,0.000842972,0.000842972,0.000842972
3,24.5809,2.75912,8.14606,2.16295,0,0,0,0,2.86113,7.37091,2.56153,0.00124852,0.00124852,0.00124852
4,28.3128,2.70316,8.20892,2.08611,0.00018,0.02516,1e-05,0,2.79677,8.06991,2.17137,0.00163664,0.00163664,0.00163664
5,32.1149,2.79958,7.34394,2.10603,4e-05,0.00629,0,0,3.37023,8.89281,3.38612,0.0018416,0.0018416,0.0018416
6,35.8308,2.74505,6.99587,2.04101,0.00067,0.09434,7e-05,1e-05,3.31555,7.7244,2.5098,0.001802,0.001802,0.001802
7,39.504,2.68508,7.29821,1.95643,0.00013,0.01887,0,0,3.75691,6.53826,4.37701,0.0017624,0.0017624,0.0017624
8,43.1639,2.66293,6.27944,1.98315,0.00058,0.08176,5e-05,1e-05,3.60391,35.7447,3.63738,0.0017228,0.0017228,0.0017228
9,46.976,2.66245,5.9915,1.9574,0.00071,0.10063,0.00011,2e-05,3.13169,6.41656,2.4773,0.0016832,0.0016832,0.0016832
10,50.5884,2.68867,5.96218,2.05782,0.0004,0.0566,3e-05,1e-05,3.12536,6.16964,2.55673,0.0016436,0.0016436,0.0016436
11,54.1942,2.66,5.74228,1.96057,0.00044,0.06289,4e-05,1e-05,2.98811,5.86394,2.39689,0.001604,0.001604,0.001604
12,57.9104,2.57729,5.69676,1.92507,0.00058,0.08176,5e-05,1e-05,2.62314,6.36377,2.07886,0.0015644,0.0015644,0.0015644
13,61.5596,2.55143,5.37067,1.90919,0.00089,0.12579,0.00018,4e-05,2.88935,6.12866,2.20556,0.0015248,0.0015248,0.0015248
14,65.2357,2.54528,5.1947,1.97083,0.00071,0.10063,0.00064,7e-05,2.823,5.79993,2.0796,0.0014852,0.0014852,0.0014852
15,68.8406,2.43242,4.97277,1.89362,0.00124,0.1761,0.00028,6e-05,3.00396,5.5018,2.29545,0.0014456,0.0014456,0.0014456
16,72.3565,2.49813,4.73118,1.88781,0.00049,0.06918,4e-05,1e-05,3.52394,5.24322,2.88648,0.001406,0.001406,0.001406
17,75.8686,2.49854,4.84232,1.92767,9e-05,0.01258,0,0,3.57824,5.56633,3.09732,0.0013664,0.0013664,0.0013664
18,79.2779,2.36623,4.82436,1.86647,0.00027,0.03774,1e-05,0,2.90553,5.05686,2.32795,0.0013268,0.0013268,0.0013268
19,82.6167,2.39635,4.65857,1.91359,0.00022,0.03145,1e-05,0,2.821,5.13722,2.29651,0.0012872,0.0012872,0.0012872
20,86.0795,2.27659,4.40913,1.85388,0.00022,0.03145,1e-05,0,3.51772,5.88003,2.84604,0.0012476,0.0012476,0.0012476
21,89.6637,2.30302,4.46828,1.87675,0.00053,0.07547,9e-05,1e-05,3.32905,5.63165,2.67873,0.001208,0.001208,0.001208
22,93.0786,2.28252,4.38949,1.85441,0.00111,0.15723,0.00024,3e-05,3.47514,5.14831,2.7778,0.0011684,0.0011684,0.0011684
23,96.5845,2.23273,4.23464,1.85182,0.00178,0.25157,0.00078,0.0002,3.0921,5.06619,2.31473,0.0011288,0.0011288,0.0011288
24,100.193,2.31472,4.36101,1.92688,0.00169,0.23899,0.00132,0.00053,3.09922,4.88274,2.38822,0.0010892,0.0010892,0.0010892
25,103.693,2.1481,4.04489,1.83978,0.0016,0.22642,0.00122,0.00038,2.80205,4.92936,2.19797,0.0010496,0.0010496,0.0010496
26,107.121,2.25619,4.00482,1.91569,0.00062,0.08805,7e-05,1e-05,3.09498,5.00969,2.64663,0.00101,0.00101,0.00101
27,110.55,2.26565,4.04998,1.86505,0.00022,0.03145,2e-05,0,3.15822,4.97627,2.75642,0.0009704,0.0009704,0.0009704
