epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5279,1.88501,6.51074,1.54224,0,0,0,0,0,39.8008,0,4e-05,4e-05,4e-05
2,14.2453,1.78536,6.58012,1.53711,0,0,0,0,0,39.8445,0,9.87625e-05,9.87625e-05,9.87625e-05
3,14.8858,1.85528,7.24636,1.7126,0,0,0,0,0,39.8716,0,0.00015604,0.00015604,0.00015604
4,15.5892,1.25037,4.98144,1.20187,0,0,0,0,0,39.9176,0,0.000211833,0.000211833,0.000211833
5,16.2492,1.0621,4.92709,1.05894,0,0,0,0,0,39.965,0,0.00026614,0.00026614,0.00026614
6,16.9384,1.0997,4.55028,1.03541,0,0,0,0,0,39.9789,0,0.000318963,0.000318963,0.000318963
7,17.5622,1.05526,3.93802,1.07078,0,0,0,0,0,39.9994,0,0.0003703,0.0003703,0.0003703
8,18.2126,1.00341,4.31836,1.12192,0,0,0,0,0,40.067,0,0.000420152,0.000420152,0.000420152
9,18.8842,1.14646,3.17447,1.14421,0,0,0,0,0,40.1179,0,0.00046852,0.00046852,0.00046852
10,19.5233,1.04447,4.14801,1.1387,0,0,0,0,0,40.0974,0,0.000515403,0.000515403,0.000515403
11,20.1873,1.06228,3.77014,1.0783,0,0,0,0,0,40.0747,0,0.0005608,0.0005608,0.0005608
12,20.8405,1.06663,3.77274,1.07593,0,0,0,0,0,40.0561,0,0.000604713,0.000604713,0.000604713
13,21.4866,0.90469,4.00536,0.98746,0,0,0,0,0,39.9851,0,0.00064714,0.00064714,0.00064714
14,22.1256,1.06599,4.26694,1.0962,0,0,0,0,0,39.9676,0,0.000688083,0.000688083,0.000688083
15,22.7562,0.8821,3.44444,1.00811,0,0,0,0,0,39.9676,0,0.00072754,0.00072754,0.00072754
16,23.4443,1.01019,4.74679,1.15923,0,0,0,0,0,40.0517,0,0.000765512,0.000765512,0.000765512
17,24.1035,1.01335,4.28419,1.07538,0,0,0,0,0,40.0311,0,0.000802,0.000802,0.000802
18,24.7427,1.16973,4.01125,1.11059,0,0,0,0,0,40.0311,0,0.000837003,0.000837003,0.000837003
19,25.4226,0.81875,2.7967,0.97421,0,0,0,0,0,39.795,0,0.00087052,0.00087052,0.00087052
20,26.0645,0.80319,3.00756,0.96416,0,0,0,0,0,39.684,0,0.000902552,0.000902552,0.000902552
21,26.6876,0.75813,3.95794,1.03447,0,0,0,0,0,39.684,0,0.0009331,0.0009331,0.0009331
22,27.3295,0.78141,2.90304,0.97275,0,0,0,0,0,39.392,0,0.000962162,0.000962162,0.000962162
23,27.9826,0.75342,4.3277,0.97054,0,0,0,0,0,39.392,0,0.00098974,0.00098974,0.00098974
24,28.6635,0.75673,2.91347,0.9726,0,0,0,0,0,38.7718,0,0.00101583,0.00101583,0.00101583
25,29.2944,0.79727,2.61405,1.02897,0,0,0,0,0,38.7718,0,0.00104044,0.00104044,0.00104044
26,29.9315,0.84035,3.25015,1.15801,0,0,0,0,0,38.3162,0,0.00106356,0.00106356,0.00106356
27,30.5456,0.7249,2.35166,0.95393,0,0,0,0,0,38.3162,0,0.0010852,0.0010852,0.0010852
28,31.1817,0.71891,3.95067,0.92339,0,0,0,0,0,37.8633,0,0.00110535,0.00110535,0.00110535
29,31.7667,0.69685,3.03915,0.97713,0,0,0,0,0,37.8633,0,0.00112402,0.00112402,0.00112402
30,32.4059,0.83408,3.55984,1.02941,0,0,0,0,0,37.8633,0,0.0011412,0.0011412,0.0011412
31,33.0294,0.74423,2.47726,1.02096,0,0,0,0,0,37.4618,0,0.0011569,0.0011569,0.0011569
32,33.6169,0.68479,4.04735,0.99426,0,0,0,0,0,37.4618,0,0.00117111,0.00117111,0.00117111
33,34.2338,0.79369,3.40413,0.98929,0,0,0,0,0,37.1672,0,0.00118384,0.00118384,0.00118384
34,34.8659,0.62584,2.44848,0.87448,0,0,0,0,0,37.1672,0,0.00118325,0.00118325,0.00118325
35,35.4795,0.64651,2.38922,0.90804,0,0,0,0,0,37.1672,0,0.0011585,0.0011585,0.0011585
36,36.1287,0.6979,3.47983,1.00033,0,0,0,0,0,36.0957,0,0.00113375,0.00113375,0.00113375
37,36.7498,0.65234,2.35035,0.94983,0,0,0,0,0,36.0957,0,0.001109,0.001109,0.001109
38,37.3489,0.78559,3.5336,0.99418,0,0,0,0,0,36.0957,0,0.00108425,0.00108425,0.00108425
39,38.0001,0.82783,3.24096,1.03627,0,0,0,0,0,34.1105,0,0.0010595,0.0010595,0.0010595
40,38.6297,0.66142,2.18622,0.90606,0,0,0,0,0,34.1105,0,0.00103475,0.00103475,0.00103475
41,39.2977,0.67263,2.38939,0.98175,0,0,0,0,0,32.0778,0,0.00101,0.00101,0.00101
42,39.8906,0.76741,3.64961,1.04263,0,0,0,0,0,32.0778,0,0.00098525,0.00098525,0.00098525
43,40.5334,0.66944,2.84201,0.92184,0,0,0,0,0,32.0778,0,0.0009605,0.0009605,0.0009605
44,41.1668,0.63155,2.52691,0.94757,0,0,0,0,0,30.2879,0,0.00093575,0.00093575,0.00093575
45,41.7639,0.58798,3.4823,0.8955,0,0,0,0,0,30.2879,0,0.000911,0.000911,0.000911
46,42.3917,0.54848,1.83905,0.89984,0,0,0,0,0,30.2879,0,0.00088625,0.00088625,0.00088625
47,43.0387,0.64404,2.17683,0.91421,0,0,0,0,0,29.2815,0,0.0008615,0.0008615,0.0008615
48,43.6685,0.87888,2.49263,1.07828,0,0,0,0,0,29.2815,0,0.00083675,0.00083675,0.00083675
49,44.325,0.75138,3.58401,0.93897,0,0,0,0,0,28.598,0,0.000812,0.000812,0.000812
50,44.9449,0.53543,3.19707,0.88063,0,0,0,0,0,28.598,0,0.00078725,0.00078725,0.00078725
51,45.5768,0.55833,2.75756,0.91735,0,0,0,0,0,28.598,0,0.0007625,0.0007625,0.0007625
52,46.2689,0.57352,3.68679,0.92172,0,0,0,0,0,28.0943,0,0.00073775,0.00073775,0.00073775
53,46.904,0.56737,2.19702,0.91599,0,0,0,0,0,28.0943,0,0.000713,0.000713,0.000713
54,47.5267,0.71065,2.67952,0.96495,0,0,0,0,0,28.0943,0,0.00068825,0.00068825,0.00068825
55,48.1908,0.6786,2.10809,0.8847,0,0,0,0,0,27.5468,0,0.0006635,0.0006635,0.0006635
56,48.819,0.527,2.21444,0.91536,0,0,0,0,0,27.5468,0,0.00063875,0.00063875,0.00063875
57,49.4742,0.64792,2.83168,0.928,0,0,0,0,0,26.8251,0,0.000614,0.000614,0.000614
58,50.137,0.51499,1.84388,0.90322,0,0,0,0,0,26.8251,0,0.00058925,0.00058925,0.00058925
59,50.7398,0.63044,1.93867,0.91286,0,0,0,0,0,26.8251,0,0.0005645,0.0005645,0.0005645
60,51.3759,0.58024,3.57939,0.8714,0,0,0,0,0,26.3032,0,0.00053975,0.00053975,0.00053975
61,51.9981,0.47323,1.81787,0.85315,0,0,0,0,0,26.3032,0,0.000515,0.000515,0.000515
62,52.6162,0.5573,1.89706,0.83037,0,0,0,0,0,26.3032,0,0.00049025,0.00049025,0.00049025
63,53.2282,0.55145,1.9085,0.91125,0,0,0,0,0,25.6217,0,0.0004655,0.0004655,0.0004655
64,53.834,0.44468,1.74211,0.8408,0,0,0,0,0,25.6217,0,0.00044075,0.00044075,0.00044075
65,54.4852,0.46156,1.62091,0.88818,0,0,0,0,0,24.8037,0,0.000416,0.000416,0.000416
66,55.1061,0.55954,2.74952,0.89531,0,0,0,0,0,24.8037,0,0.00039125,0.00039125,0.00039125
67,55.701,0.52835,1.90634,0.82823,0,0,0,0,0,24.8037,0,0.0003665,0.0003665,0.0003665
68,56.3633,0.73004,2.6326,1.04372,0,0,0,0,0,24.339,0,0.00034175,0.00034175,0.00034175
69,57.0021,0.45318,1.93164,0.89989,0,0,0,0,0,24.339,0,0.000317,0.000317,0.000317
70,57.6122,0.47124,2.15754,0.82185,0,0,0,0,0,24.339,0,0.00029225,0.00029225,0.00029225
71,75.1866,0.40441,3.16546,0.85077,0,0,0,0,0,24.1167,0,0.0002675,0.0002675,0.0002675
72,75.8197,0.43856,3.1007,0.84898,0,0,0,0,0,24.1167,0,0.00024275,0.00024275,0.00024275
73,76.4604,0.40639,2.93719,0.75295,0,0,0,0,0,23.8426,0,0.000218,0.000218,0.000218
74,77.0539,0.37078,2.92067,0.76955,0,0,0,0,0,23.8426,0,0.00019325,0.00019325,0.00019325
75,77.6579,0.44177,2.78257,0.85285,0,0,0,0,0,23.8426,0,0.0001685,0.0001685,0.0001685
76,78.3004,0.42269,3.5979,0.81771,0,0,0,0,0,23.795,0,0.00014375,0.00014375,0.00014375
77,78.8948,0.4285,2.97136,0.8698,0,0,0,0,0,23.795,0,0.000119,0.000119,0.000119
78,79.4778,0.46587,3.4123,0.85693,0,0,0,0,0,23.795,0,9.425e-05,9.425e-05,9.425e-05
79,80.0919,0.39254,3.70642,0.78531,0,0,0,0,0,23.8042,0,6.95e-05,6.95e-05,6.95e-05
80,80.6838,0.35759,2.75579,0.84356,0,0,0,0,0,23.8042,0,4.475e-05,4.475e-05,4.475e-05
