frame_idx,t_rel_s,t_unix,lat,lon,alt_msl,rel_alt,roll,pitch,yaw
0,0.000000,1783330728.253,42.1424624,-1.5888362,303.71,47.33,1.35,-4.32,74.37
1,0.017096,1783330728.270,42.1424625,-1.5888346,303.72,47.34,1.35,-4.28,74.37
2,0.034192,1783330728.287,42.1424627,-1.5888329,303.74,47.36,1.34,-4.24,74.37
3,0.051288,1783330728.304,42.1424628,-1.5888312,303.75,47.37,1.34,-4.22,74.37
4,0.068384,1783330728.321,42.1424630,-1.5888295,303.77,47.39,1.32,-4.25,74.37
5,0.085480,1783330728.338,42.1424631,-1.5888278,303.78,47.40,1.31,-4.28,74.37
6,0.102576,1783330728.356,42.1424632,-1.5888261,303.79,47.41,1.29,-4.31,74.36
7,0.119672,1783330728.373,42.1424634,-1.5888244,303.81,47.43,1.28,-4.35,74.36
8,0.136768,1783330728.390,42.1424659,-1.5888237,303.64,47.26,1.26,-4.38,74.36
9,0.153864,1783330728.407,42.1424661,-1.5888220,303.66,47.28,1.25,-4.39,74.36
10,0.170960,1783330728.424,42.1424662,-1.5888203,303.67,47.29,1.25,-4.36,74.35
11,0.188056,1783330728.441,42.1424663,-1.5888186,303.69,47.31,1.25,-4.33,74.34
12,0.205151,1783330728.458,42.1424665,-1.5888170,303.70,47.32,1.24,-4.30,74.33
13,0.222247,1783330728.475,42.1424666,-1.5888153,303.72,47.34,1.24,-4.27,74.32
14,0.239343,1783330728.492,42.1424668,-1.5888136,303.73,47.35,1.24,-4.24,74.31
15,0.256439,1783330728.509,42.1424669,-1.5888119,303.75,47.37,1.23,-4.20,74.30
16,0.273535,1783330728.527,42.1424670,-1.5888103,303.76,47.38,1.22,-4.15,74.30
17,0.290631,1783330728.544,42.1424672,-1.5888086,303.77,47.39,1.20,-4.10,74.30
18,0.307727,1783330728.561,42.1424673,-1.5888069,303.79,47.41,1.19,-4.05,74.30
19,0.324823,1783330728.578,42.1424674,-1.5888052,303.80,47.42,1.17,-4.00,74.30
20,0.341919,1783330728.595,42.1424702,-1.5888046,303.63,47.25,1.16,-3.96,74.30
21,0.359015,1783330728.612,42.1424703,-1.5888029,303.64,47.26,1.14,-3.97,74.30
22,0.376111,1783330728.629,42.1424704,-1.5888012,303.66,47.28,1.12,-4.02,74.30
23,0.393207,1783330728.646,42.1424705,-1.5887995,303.67,47.29,1.10,-4.06,74.30
24,0.410303,1783330728.663,42.1424706,-1.5887978,303.69,47.31,1.09,-4.11,74.30
25,0.427399,1783330728.680,42.1424708,-1.5887961,303.71,47.33,1.07,-4.15,74.30
26,0.444495,1783330728.697,42.1424709,-1.5887944,303.72,47.34,1.05,-4.20,74.30
27,0.461591,1783330728.715,42.1424710,-1.5887928,303.74,47.36,1.06,-4.14,74.31
28,0.478687,1783330728.732,42.1424711,-1.5887911,303.75,47.37,1.07,-4.06,74.31
29,0.495783,1783330728.749,42.1424712,-1.5887894,303.77,47.39,1.09,-3.98,74.32
30,0.512879,1783330728.766,42.1424714,-1.5887877,303.78,47.40,1.10,-3.89,74.33
31,0.529975,1783330728.783,42.1424715,-1.5887860,303.80,47.42,1.12,-3.81,74.33
32,0.547071,1783330728.800,42.1424743,-1.5887853,303.62,47.24,1.13,-3.72,74.34
33,0.564167,1783330728.817,42.1424744,-1.5887837,303.64,47.26,1.16,-3.74,74.34
34,0.581263,1783330728.834,42.1424745,-1.5887820,303.65,47.27,1.19,-3.75,74.34
35,0.598358,1783330728.851,42.1424747,-1.5887803,303.67,47.29,1.22,-3.77,74.33
36,0.615454,1783330728.868,42.1424748,-1.5887786,303.68,47.30,1.25,-3.79,74.33
37,0.632550,1783330728.886,42.1424749,-1.5887769,303.70,47.32,1.28,-3.80,74.33
38,0.649646,1783330728.903,42.1424750,-1.5887752,303.72,47.34,1.31,-3.81,74.33
