epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.53963,1.75632,2.78447,1.54901,0.91273,0.91667,0.91522,0.61623,1.26768,1.90859,1.43887,0.00014,0.00014,0.00014
2,16.0447,1.38083,2.08575,1.20829,0.98496,0.91667,0.91509,0.67928,1.13384,1.68392,1.2532,0.0002703,0.0002703,0.0002703
3,23.4109,1.22509,1.9391,1.10049,0.99379,0.91667,0.91509,0.69696,0.9203,1.54188,1.10544,0.00036892,0.00036892,0.00036892
4,30.7756,1.1363,1.8666,1.07671,0.99199,0.91667,0.91509,0.73201,0.98745,1.45285,1.12416,0.00043586,0.00043586,0.00043586
5,37.9501,0.96331,1.78812,1.03684,0.98572,0.91667,0.91509,0.76547,0.74833,1.34751,1.02087,0.00047112,0.00047112,0.00047112
6,45.3103,0.97253,1.89822,1.03282,0.98914,0.91667,0.91509,0.78353,0.78659,1.33185,1.04545,0.0004747,0.0004747,0.0004747
7,52.7863,0.88725,1.68542,1.01906,0.99161,0.91667,0.91509,0.77205,0.80148,1.24037,1.03676,0.0004466,0.0004466,0.0004466
8,60.1586,0.94594,1.79714,0.99891,0.99361,0.91667,0.91509,0.77055,0.79366,1.2427,1.02728,0.00038682,0.00038682,0.00038682
9,67.7033,0.84696,1.67897,0.97234,0.99027,0.91667,0.91509,0.79147,0.69004,1.27084,0.99556,0.00029536,0.00029536,0.00029536
10,74.9073,0.80221,1.61738,0.9582,0.99057,0.91667,0.91509,0.81409,0.68027,1.27659,1.00691,0.00017222,0.00017222,0.00017222
