epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.5013,0.85472,1.74904,1.04486,0.9914,0.91667,0.91509,0.83743,0.61837,1.17715,0.98468,0.00014,0.00014,0.00014
2,16.6244,0.7324,1.60734,0.95902,0.9915,0.91667,0.91509,0.81093,0.66261,1.12378,1.02073,0.0002703,0.0002703,0.0002703
3,24.4085,0.72519,1.47927,0.94997,0.99435,0.91667,0.91509,0.79334,0.74122,1.16605,1.04112,0.00036892,0.00036892,0.00036892
4,32.3684,0.80934,1.52268,0.95646,0.99529,0.91667,0.91509,0.7831,0.75433,1.24003,1.06574,0.00043586,0.00043586,0.00043586
5,40.0869,0.82138,1.51686,0.96912,0.99517,0.91667,0.91509,0.75656,0.69081,1.18344,1.02945,0.00047112,0.00047112,0.00047112
6,47.9332,0.74184,1.61814,0.92037,0.99533,0.91667,0.91509,0.81196,0.58225,1.09419,0.98238,0.0004747,0.0004747,0.0004747
7,55.7157,0.71404,1.35088,0.95399,0.99543,0.91667,0.91509,0.78725,0.68414,1.13113,0.97781,0.0004466,0.0004466,0.0004466
8,63.5993,0.82799,1.44469,0.9224,0.99539,0.91667,0.91509,0.77205,0.7084,1.11313,0.99255,0.00038682,0.00038682,0.00038682
9,71.3393,0.71731,1.41613,0.92149,0.9946,0.91667,0.91509,0.81971,0.59422,1.03972,0.98925,0.00029536,0.00029536,0.00029536
10,79.0925,0.78212,1.37414,0.94359,0.99459,0.91667,0.91509,0.82529,0.57105,1.02847,0.98259,0.00017222,0.00017222,0.00017222
