epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2409,2.28498,5.15465,1.40385,0.00024,0.08187,0.00066,0.00026,2.47627,5.42108,1.52604,8.574e-05,8.574e-05,8.574e-05
2,16.2876,2.14843,5.34295,1.32979,0.00055,0.1345,0.01729,0.00617,2.43026,4.96963,1.39796,0.00018485,0.00018485,0.00018485
3,18.3611,1.91675,4.39677,1.18804,0.00058,0.12573,0.02982,0.01105,2.29294,4.96921,1.43978,0.000282971,0.000282971,0.000282971
4,20.2813,1.89819,3.92628,1.15131,0.00037,0.05263,0.02084,0.01089,2.10863,4.83032,1.39992,0.0003801,0.0003801,0.0003801
5,22.2318,1.97598,3.4318,1.18786,0.0006,0.08772,0.05149,0.01828,2.20712,4.83586,1.35487,0.00047624,0.00047624,0.00047624
6,24.171,1.94301,3.12727,1.16618,0.00076,0.10526,0.05993,0.02285,2.15379,4.83036,1.34401,0.000571389,0.000571389,0.000571389
7,26.166,1.94973,2.87864,1.17346,0.0014,0.12281,0.07458,0.03615,2.22847,4.62321,1.20852,0.000665548,0.000665548,0.000665548
8,28.0368,1.854,2.58407,1.23228,0.00105,0.10526,0.05817,0.01488,2.32509,4.75512,1.26855,0.000758717,0.000758717,0.000758717
9,29.9771,1.94461,2.58667,1.2508,0.00086,0.09649,0.02619,0.01136,2.19494,4.65107,1.28654,0.000850895,0.000850895,0.000850895
10,31.8935,1.98045,2.61847,1.24484,0.00066,0.07895,0.05176,0.02135,2.20201,4.56242,1.31354,0.000942083,0.000942083,0.000942083
11,33.7942,1.90487,2.46342,1.20682,0.00087,0.11404,0.08964,0.03295,2.24022,4.30216,1.48562,0.00103228,0.00103228,0.00103228
12,35.7095,1.8582,2.26403,1.21678,0.00125,0.21345,0.15337,0.08182,2.10272,4.12687,1.41167,0.00112149,0.00112149,0.00112149
13,37.576,1.78042,2.19424,1.21972,0.90688,0.06804,0.16995,0.0822,2.05377,4.10609,1.35344,0.00120971,0.00120971,0.00120971
14,39.4292,1.79967,2.29117,1.18683,0.00088,0.2076,0.17247,0.07399,2.16574,4.52577,1.40388,0.00129693,0.00129693,0.00129693
15,41.3406,1.83499,2.40648,1.2467,0.63179,0.0753,0.22284,0.10743,2.20489,4.11683,1.40664,0.00132997,0.00132997,0.00132997
16,43.3219,1.76887,2.2903,1.18786,0.50458,0.1959,0.30747,0.12388,2.17538,3.67981,1.33865,0.0013229,0.0013229,0.0013229
17,45.2041,1.72762,2.15872,1.19156,0.48199,0.2652,0.37141,0.12251,2.18488,3.42403,1.37638,0.00131582,0.00131582,0.00131582
18,47.1311,1.73721,2.05787,1.18122,0.53535,0.30223,0.40916,0.15428,2.32077,3.40672,1.50421,0.00130875,0.00130875,0.00130875
19,49.0533,1.73512,2.0714,1.2343,0.50503,0.29228,0.41809,0.17355,2.20045,3.42958,1.52098,0.00130168,0.00130168,0.00130168
20,50.9637,1.75089,2.05973,1.20296,0.53101,0.23959,0.36613,0.12622,2.26403,3.43798,1.49378,0.0012946,0.0012946,0.0012946
21,52.8292,1.65848,1.82229,1.16501,0.50015,0.22515,0.38108,0.12589,2.25539,3.3863,1.48247,0.00128753,0.00128753,0.00128753
22,54.6805,1.6841,1.71869,1.1447,0.37912,0.28617,0.37657,0.14296,2.11244,3.11895,1.4245,0.00128046,0.00128046,0.00128046
23,56.6114,1.70101,1.7808,1.17941,0.6127,0.36213,0.44412,0.2368,1.99099,2.86778,1.35139,0.00127338,0.00127338,0.00127338
24,58.4656,1.6893,1.80683,1.14362,0.9029,0.2807,0.42476,0.18942,1.98687,2.25667,1.37864,0.00126631,0.00126631,0.00126631
25,60.3215,1.71481,1.67705,1.19615,0.35269,0.46491,0.37728,0.17463,2.09716,2.19181,1.36205,0.00125923,0.00125923,0.00125923
26,62.1962,1.64303,1.54513,1.12305,0.39708,0.39181,0.39095,0.16374,2.15549,2.28659,1.39893,0.00125216,0.00125216,0.00125216
27,64.0774,1.67702,1.7438,1.14706,0.43599,0.33626,0.37173,0.18726,2.27296,2.06162,1.47731,0.00124509,0.00124509,0.00124509
28,65.8808,1.74158,1.80496,1.14245,0.38823,0.3862,0.38538,0.14418,2.21501,2.03557,1.45791,0.00123801,0.00123801,0.00123801
29,67.7854,1.75237,1.61348,1.16788,0.34171,0.30881,0.34539,0.14148,2.18515,2.08135,1.46522,0.00123094,0.00123094,0.00123094
30,69.6255,1.64209,1.58649,1.1048,0.44948,0.26023,0.29773,0.13829,2.20333,2.11227,1.4791,0.00122387,0.00122387,0.00122387
31,71.5158,1.58731,1.56098,1.12539,0.37669,0.24333,0.3189,0.15589,2.01208,2.31094,1.36809,0.00121679,0.00121679,0.00121679
32,73.4009,1.54337,1.44462,1.09182,0.56035,0.20877,0.35049,0.16018,1.99254,1.9712,1.34331,0.00120972,0.00120972,0.00120972
33,75.1634,1.58318,1.46923,1.13026,0.38667,0.29391,0.34808,0.16538,1.98035,1.84185,1.34054,0.00120265,0.00120265,0.00120265
34,77.0117,1.55807,1.46957,1.08538,0.22188,0.27778,0.27276,0.11586,2.01213,2.05281,1.35393,0.00119557,0.00119557,0.00119557
35,78.9588,1.65424,1.47765,1.16028,0.32593,0.22222,0.29259,0.12223,2.07695,1.88137,1.37266,0.0011885,0.0011885,0.0011885
36,80.878,1.62202,1.51711,1.14544,0.24654,0.39766,0.32455,0.13139,2.08873,2.16662,1.3543,0.00118143,0.00118143,0.00118143
