frame,t_unix,t_rel_s,lat,lon,alt_msl,rel_alt,roll,pitch,yaw
0,1783330741.109,0.000,42.1427386,-1.5878757,303.31,46.75,-6.40,-6.08,9.40
1,1783330741.209,0.100,42.1427440,-1.5878751,303.11,46.55,-6.30,-6.36,7.79
2,1783330741.309,0.200,42.1427463,-1.5878738,303.30,46.74,-6.19,-6.70,6.25
3,1783330741.409,0.300,42.1427515,-1.5878737,303.07,46.51,-6.10,-7.11,4.65
4,1783330741.509,0.400,42.1427546,-1.5878723,303.31,46.75,-6.03,-7.39,3.24
5,1783330741.609,0.500,42.1427602,-1.5878723,303.11,46.55,-5.97,-7.80,1.78
6,1783330741.709,0.600,42.1427631,-1.5878715,303.33,46.77,-5.81,-8.19,0.31
7,1783330741.809,0.700,42.1427679,-1.5878717,303.10,46.54,-5.65,-8.39,359.06
8,1783330741.909,0.800,42.1427707,-1.5878713,303.29,46.73,-5.48,-8.60,357.63
9,1783330742.009,0.900,42.1427737,-1.5878718,303.02,46.46,-5.42,-8.82,356.35
10,1783330742.109,1.000,42.1427802,-1.5878715,303.31,46.75,-5.29,-8.95,355.16
11,1783330742.209,1.100,42.1427858,-1.5878722,303.10,46.54,-5.18,-9.06,353.86
12,1783330742.309,1.200,42.1427897,-1.5878724,303.33,46.77,-5.15,-9.43,352.76
13,1783330742.409,1.300,42.1427952,-1.5878733,303.09,46.53,-5.01,-9.57,351.69
14,1783330742.509,1.400,42.1427992,-1.5878739,303.33,46.77,-4.65,-9.75,350.56
15,1783330742.609,1.500,42.1428056,-1.5878752,303.13,46.57,-4.30,-9.89,349.62
16,1783330742.709,1.600,42.1428092,-1.5878760,303.34,46.78,-3.74,-9.98,348.82
17,1783330742.809,1.700,42.1428146,-1.5878772,303.09,46.53,-3.08,-10.10,348.12
18,1783330742.909,1.800,42.1428185,-1.5878783,303.29,46.73,-2.32,-10.04,347.46
19,1783330743.009,1.900,42.1428249,-1.5878799,303.10,46.54,-1.53,-10.37,346.94
20,1783330743.109,2.000,42.1428294,-1.5878814,303.32,46.76,-0.78,-10.25,346.54
21,1783330743.209,2.100,42.1428353,-1.5878830,303.09,46.53,-0.03,-10.51,346.27
22,1783330743.309,2.200,42.1428396,-1.5878844,303.29,46.73,0.62,-10.60,346.16
23,1783330743.409,2.300,42.1428469,-1.5878866,303.12,46.56,1.24,-10.68,346.09
24,1783330743.509,2.400,42.1428509,-1.5878880,303.31,46.75,1.70,-10.89,346.03
25,1783330743.609,2.500,42.1428582,-1.5878902,303.10,46.54,1.99,-10.85,346.04
26,1783330743.709,2.600,42.1428623,-1.5878916,303.29,46.73,2.07,-10.93,346.07
27,1783330743.809,2.700,42.1428699,-1.5878939,303.08,46.52,2.04,-10.79,346.15
28,1783330743.909,2.800,42.1428740,-1.5878953,303.28,46.72,1.85,-10.85,346.28
29,1783330744.009,2.900,42.1428801,-1.5878969,302.79,46.23,1.64,-10.84,346.40
